sentence1	sentence2
Po drugi strani je bil Dušan Zorko razrešen, delničarji pa so podelili razrešnico tudi članom nadzornega sveta, čeprav so mali delničarji opozorili na domnevno odgovornost nekaterih članov nadzornega sveta pri njihovem sodelovanju z nekdanjo upravo.	Po drugi strani je bil Dušan Zorko razrešen, delničarji pa so podelili razrešnico tudi članom nadzornega sveta, čeprav so mali delničarji opozarjali na domnevno odgovornost nekaterih nadzornikov pri sodelovanju z nekdanjo upravo družbe.
Za novega člana nadzornega sveta je skupščina imenovala Petra Groznika, ki ga je predlagala NLB.	Skupščina je za novega člana nadzornega sveta izvolila Petra Groznika, ki ga je predlagala NLB.
Za novega člana nadzornega sveta je skupščina imenovala Petra Groznika, ki ga je predlagala NLB.	Skupščina je za novega člana nadzornega sveta imenovala Petra Groznika, ki ga je predlagala NLB.
Njegov mandat se začne danes in konča 31. avgusta 2013.	Njegov mandat se začne danes in se izteče 31. avgusta 2013.
Njegov mandat začne teči z današnjim dnem, iztekel pa se bo 31. avgusta 2013.	Njegov mandat se začne danes in se izteče 31. avgusta 2013.
Imenovali so družbo Deloitte Revizija za revizijsko podjetje za letošnje leto in odobrili spremembe statuta, potrebne za uskladitev z Zakonom o gospodarskih družbah.	Imenovali so družbo Deloitte Revizija za revizijsko družbo za letošnje leto in odobrili spremembe statuta, potrebne za uskladitev z zakonom o gospodarskih družbah.
Imenovali so družbo Deloitte Revizija za revizijsko podjetje za letošnje leto in odobrili spremembe statuta, potrebne za uskladitev z Zakonom o gospodarskih družbah.	Za revizijsko družbo za letošnje leto so imenovali družbo Deloitte Revizija , podprli pa so tudi spremembe statuta, potrebne zaradi uskladitve z zakonom o gospodarskih družbah.
Delničarji so odobrili tudi nekatere druge spremembe statuta, ki uvajajo sistem največ treh članov upravnega odbora.	Delničarji so podprli še nekatere druge spremembe statuta, ki v družbo uvajajo sistem največ tričlanske uprave.
Delničarji so odobrili tudi več drugih sprememb statuta, ki predvidevajo uvedbo največ tričlanskega upravnega odbora.	Delničarji so odobrili tudi nekatere druge spremembe statuta, ki uvajajo sistem največ treh članov upravnega odbora.
Ta uprava mora med drugim pridobiti soglasje nadzornega sveta za pridobitev ali odsvojitev finančnih naložb, katerih vrednost presega 3 milijone EUR, odobritev posojil, razen podružnicam, ter naložbe, nakup ali prodajo osnovnih sredstev, ki posamično presegajo 500.000 EUR, če niso vključene v poslovni načrt družbe.	Med drugim mora ta odbor pridobiti soglasje nadzornega sveta za pridobitev ali odtujitev finančnih sredstev v vrednosti nad 3 milijoni evrov, za odobritev posojil, razen odvisnim družbam, ter za naložbe, nakupe ali prodaje osnovnih sredstev, ki posamezno presegajo 500.000 evrov, če niso vključene v poslovni načrt družbe.
Ta uprava mora med drugim pridobiti soglasje nadzornega sveta za pridobitve ali odtujitve finančnih naložb v vrednosti nad tri milijone evrov, dajanje posojil, razen odvisnim družbam, ter investicije, nakupe ali prodajo osnovnih sredstev, ki posamično presegajo 500.000 evrov, kadar niso vključeni v poslovni načrt družbe.	Med drugim mora ta odbor pridobiti soglasje nadzornega sveta za pridobitev ali odtujitev finančnih sredstev v vrednosti nad 3 milijoni evrov, za odobritev posojil, razen odvisnim družbam, ter za naložbe, nakupe ali prodaje osnovnih sredstev, ki posamezno presegajo 500.000 evrov, če niso vključene v poslovni načrt družbe.
Niso pa podprli predloga, ki bi podjetju omogočil prodajo lastnih delnic zaposlenim z 20-odstotnim popustom.	Vendar so zavrnili predlog, ki bi podjetju omogočil prodajo lastnih delnic zaposlenim z 20-odstotnim popustom.
Niso pa podprli predloga, ki bi podjetju omogočil prodajo lastnih delnic zaposlenim z 20-odstotnim popustom.	Niso pa podprli predloga, v skladu s katerim bi družba lahko zaposlenim delavcem v družbi prodajala lastne delnice za 20 odstotkov nižjo ceno.
Predstavniki malih delničarjev so napovedali, da se bodo pritožili zoper nekatere sklepe letne skupščine delničarjev.	Predstavniki malih delničarjev so napovedali pravno izpodbijanje nekaterih sklepov skupščine.
Predstavniki malih delničarjev so sicer napovedali izpodbojne tožbe na nekatere sklepe skupščine.	Predstavniki malih delničarjev so napovedali pravno izpodbijanje nekaterih sklepov skupščine.
Po pričakovanjih se je najbolj živahna razprava razvila okoli predloga za prestrukturiranje skupine.	Kot je bilo pričakovano, se je najbolj živahna razprava razvila okoli predloga za reorganizacijo skupine .
Po pričakovanjih se je najbolj živahna razprava razvila okoli predloga za reorganizacijo skupine.	Po pričakovanjih se je najbolj živahna razprava razvila okoli predloga za prestrukturiranje skupine.
Direktor Pivovarne Laško Dušan Zorko je poudaril, da je preoblikovanje v pogodbeni koncern nujno zaradi izvrševanja sinergij v skupini, komercialni direktor Gorazd Lukman pa je pojasnil, da pivovarna namerava do leta 2014 povečati promet na 355 milijonov evrov, dobiček pred obrestmi, davki in amortizacijo pa na 60 milijonov evrov.	Dušan Zorko, predsednik uprave Pivovarne Laško, je poudaril, da je preoblikovanje v pogodbeno skupino potrebno za doseganje sinergij znotraj skupine, Gorazd Lukman, komercialni direktor, pa je pojasnil, da želi pivovarna do leta 2014 povečati promet na 355 milijonov EUR in dobiček pred obrestmi, davki in amortizacijo na 60 milijonov EUR.
Dušan Zorko, predsednik uprave Pivovarne Laško, je poudaril, da je preoblikovanje v pogodbeno skupino potrebno za doseganje sinergij znotraj skupine, Gorazd Lukman, komercialni direktor, pa je dejal, da želi pivovarna do leta 2014 povečati prodajo na 355 milijonov EUR in dobiček pred obrestmi, davki in amortizacijo na 60 milijonov EUR.	Dušan Zorko, predsednik uprave Pivovarne Laško, je poudaril, da je preoblikovanje v pogodbeno skupino potrebno za doseganje sinergij znotraj skupine, Gorazd Lukman, komercialni direktor, pa je pojasnil, da želi pivovarna do leta 2014 povečati promet na 355 milijonov EUR in dobiček pred obrestmi, davki in amortizacijo na 60 milijonov EUR.
Zorko je na novinarski konferenci po skupščini le- to ocenil kot uspešno.	Zorko je na tiskovni konferenci po srečanju govoril o uspehu.
Zorko je na tiskovni konferenci po skupščini dejal, da je bila skupščina uspešna.	Zorko je na novinarski konferenci po skupščini le- to ocenil kot uspešno.
"""Zame je pomembno, da imamo v nadzornem svetu novega člana,"" je poudaril."	""" Zame je bistveno, da smo dobili novega člana nadzornega sveta ,"" je poudaril."
"""Zame je bistveno, da imamo novega člana nadzornega sveta,"" je poudaril."	"""Zame je pomembno, da imamo v nadzornem svetu novega člana,"" je poudaril."
V zvezi z reorganizacijo je napovedal, da bo novo vodstvo poskušalo pripraviti nov program, ki bi bil sprejemljiv za lastnike.	Glede reorganizacije pa je napovedal, da bo nova uprava poskušala pripraviti nov program, ki bo sprejemljiv za lastnike.
Glede prestrukturiranja je napovedal, da bo novo vodstvo poskušalo razviti nov program, ki bi bil sprejemljiv za lastnike.	V zvezi z reorganizacijo je napovedal, da bo novo vodstvo poskušalo pripraviti nov program, ki bi bil sprejemljiv za lastnike.
To bo po njegovih besedah sedaj lažje, saj ima NLB med nadzorniki svojega predstavnika.	Zdaj, ko ima NLB svojega predstavnika med regulatorji, bo to lažje, je dejal.
Zdaj, ko ima NLB svojega predstavnika med nadzorniki, bo to lažje, je dejal.	Zdaj, ko ima NLB svojega predstavnika med regulatorji, bo to lažje, je dejal.
Vendar je poudaril, da se je družba pod njegovim vodstvom sestala z vsemi 18 bankami upnicami in jim podrobno pojasnila svoje namere.	Vendar je poudaril, da se je družba pod njegovim vodstvom sestala z vsemi 18 bankami upnicami in jim podrobno predstavila svoje namere.
Izpostavil pa je, da je družba pod njegovim vodstvom opravila srečanja z vsemi 18 bankami upnicami in jim svoje namene natančno predstavila.	Vendar je poudaril, da se je družba pod njegovim vodstvom sestala z vsemi 18 bankami upnicami in jim podrobno pojasnila svoje namere.
""" NLB ni glasovala proti, ampak si je vzela čas, da o tem še razmisli,"" pa je komentiral zavrnitev predloga uprave ter izrazil prepričanje, da bodo z lastniki kmalu dosegli dogovor, ki bo sprejemljiv za vse."	"""NLB ni glasovala proti, ampak si je vzela čas za razmislek,"" je komentiral zavrnitev predloga uprave in izrazil prepričanje, da bo z lastniki kmalu dosežen za vse sprejemljiv dogovor."
""" NLB ni glasovala proti, ampak si je vzela čas, da o tem še razmisli,"" pa je komentiral zavrnitev predloga uprave ter izrazil prepričanje, da bodo z lastniki kmalu dosegli dogovor, ki bo sprejemljiv za vse."	"""NLB ni glasovala proti, ampak si je vzela čas za razmislek,"" je dejal, ko je komentiral zavrnitev predloga uprave in izrazil prepričanje, da bo z lastniki kmalu dosežen za vse sprejemljiv dogovor."
Protest bosanskih delavcev, ki so jih oropali slovenski delodajalci, se konča z dogovorom na slovenskem veleposlaništvu v Sarajevu.	Protest bosanskih delavcev , ki so jih opeharili slovenski delodajalci , se je v Sarajevu končal z dogovorom na slovenskem veleposlaništvu.
Protest bosanskih delavcev, ki so jih oropali slovenski delodajalci, se konča z dogovorom na slovenskem veleposlaništvu v Sarajevu.	Protest bosanskih delavcev, ki so jih oropali slovenski delodajalci, se konča z dogovorom pred slovenskim veleposlaništvom v Sarajevu.
Slovenski in bosanski organi naj bi do 19. septembra omogočili rešitev tega problema.	Slovenski in bosanski organi naj bi omogočili rešitev te težave do 19. septembra.
Do 19. septembra naj bi slovenske in bosanske oblasti omogočile, da se ta problem razreši.	Slovenski in bosanski organi naj bi omogočili rešitev te težave do 19. septembra.
Kot je za 24ur.com povedal Andrej Kurnik iz Nevidnih delavcev sveta, se je na protestu zbralo okoli 40 delavcev, skupaj z aktivisti in podporniki pa se jih je zbralo okoli 120.	Andrej Kurnik iz Nevidnih delavcev sveta je za 24ur.com povedal, da se je na protestu zbralo okoli 40 delavcev, skupaj z aktivisti in podporniki pa se je zbralo okoli 120 ljudi.
Andrej Kurnik iz organizacije Nevidni delavci sveta je za 24ur.com povedal, da se je na protestu zbralo približno 40 delavcev, skupaj z aktivisti in podporniki pa je prišlo približno 120 ljudi.	Andrej Kurnik iz Nevidnih delavcev sveta je za 24ur.com povedal, da se je na protestu zbralo okoli 40 delavcev, skupaj z aktivisti in podporniki pa se je zbralo okoli 120 ljudi.
Zahtevali so, da se jim dovoli vrnitev v Slovenijo, da bi lahko od slovenskih delodajalcev izterjali dolgove.	Zahtevali so, da se jim dovoli vrnitev v Slovenijo, da bi lahko izterjali dolgove od slovenskih delodajalcev.
Zahtevali so, da se jim dovoli vrnitev v Slovenijo, da bi lahko od slovenskih delodajalcev izterjali dolgove.	Zahtevali so, da se jim omogoči vrnitev v Slovenijo, da bi lahko izterjali dolgove od svojih slovenskih delodajalcev.
Pridružili so se jim aktivisti gibanja Dosta!, predstavniki slovenske skupine Nevidni delavci sveta in predstavniki Udruženja političnih znanosti, poroča bosanski portal Sarajevo-X.	Pridružili so se jim aktivisti gibanja Dosta!, predstavniki slovenske skupine Nevidni delavci sveta in predstavniki Udruženja političkih nauka, poroča bosanski portal Sarajevo-X.
Na protestu so se jim pridružili tudi aktivisti gibanja Dosta!, predstavniki slovenske skupine Nevidni delavci sveta in predstavniki Udruženja političkih nauka, poroča bosanski portal Sarajevo-X.	Pridružili so se jim aktivisti gibanja Dosta!, predstavniki slovenske skupine Nevidni delavci sveta in predstavniki Udruženja političnih znanosti, poroča bosanski portal Sarajevo-X.
Protest se je začel pred stavbo Urada visokega predstavnika, ki je hkrati tudi posebni predstavnik EU .	Protest se je začel pred uradom visoke predstavnice, ki je tudi posebna predstavnica EU.
Protest se je začel pred uradom visokega predstavnika, ki je tudi posebni predstavnik EU.	Protest se je začel pred stavbo Urada visokega predstavnika, ki je hkrati tudi posebni predstavnik EU .
"S transparenti, na katerih je pisalo "" Hočemo naše plače"" in "" Dovolj poniževanja delavcev iz tretjih držav"" so pred uradom nato prebrali seznam svojih zahtev in pritožb."	"Nosili so transparente z napisi ""Hočemo svoje plače"" in ""Prenehajte s poniževanjem delavcev iz tretjih držav"", nato pa so pred uradom prebrali seznam svojih zahtev in pritožb."
"S transparenti z napisi ""Hočemo svoje plače"" in ""Dovolj je poniževanja delavcev iz tretjih držav"" so pred uradom prebrali seznam svojih zahtev in pritožb."	"S transparenti, na katerih je pisalo "" Hočemo naše plače"" in "" Dovolj poniževanja delavcev iz tretjih držav"" so pred uradom nato prebrali seznam svojih zahtev in pritožb."
Delavci Prenove so več dni vztrajali na slovenskem ministrstvu za delo, pa tudi gladovno stavkali.	Delavci Prenove so več dni gladovno stavkali na slovenskem ministrstvu za delo.
Delavci Prenove so na slovenskem ministrstvu za delo več dni gladovno stavkali.	Delavci Prenove so več dni gladovno stavkali na slovenskem ministrstvu za delo.
Opozorilo pred hinavščino in dvoličnostjo	Opozorili na licemerje in hinavščino
"""Urad visokega predstavnika še ni odgovoril, čeprav smo jim posredovali skupno izjavo,"" je dejal Kurnik in pojasnil, da so v uradu poudarili, da je ""Urad visokega predstavnika mednarodne skupnosti v Bosni in Hercegovini odgovoren tudi za to, kaj se dogaja z nacionalnimi delavci Bosne in Hercegovine in drugimi tujimi delavci""."	""" Odziva iz OHR še ni bilo, čeprav se jim je predala skupna izjava,"" je dejal Kurnik in pojasnil, da se je pred uradom poudarilo, da "" so v uradu visokega predstavnika mednarodne skupnosti v BiH odgovorni tudi za to, kar se dogaja delavcem državljanom BiH in tudi drugim tujim delavcem"" ."
"""OHR se še ni odzval, čeprav smo jim posredovali skupno izjavo,"" je dejal Kurnik in pojasnil, da so pred uradom poudarili, da je ""Urad visokega predstavnika mednarodne skupnosti v BiH odgovoren tudi za to, kar se dogaja z nacionalnimi delavci BiH in drugimi tujimi delavci""."	""" Odziva iz OHR še ni bilo, čeprav se jim je predala skupna izjava,"" je dejal Kurnik in pojasnil, da se je pred uradom poudarilo, da "" so v uradu visokega predstavnika mednarodne skupnosti v BiH odgovorni tudi za to, kar se dogaja delavcem državljanom BiH in tudi drugim tujim delavcem"" ."
"Po njegovih besedah so opozorili na ""hinavščino in hinavščino""."	"Po njegovih besedah so opozorili na "" licemerje in hinavščino"" ."
"Po njegovih besedah so opozorili na ""hinavščino in dvoličnost""."	"Po njegovih besedah so opozorili na ""hinavščino in hinavščino""."
Po eni strani mednarodna skupnost in EU zavirata proces liberalizacije in zavlačujeta vizumski režim, hkrati pa si zatiskata oči pred oblikami prekomernega izkoriščanja delavcev migrantov, je dejal Kurnik.	Mednarodna skupnost in EU po eni strani blokirajo proces liberalizacije in odlagajo urejanje viznega režima, hkrati pa si zatiskajo oči pred oblikami hiperizkoriščanja migrantskih delavcev, je pojasnil Kurnik.
Po eni strani mednarodna skupnost in EU zavirata proces liberalizacije in zavlačujeta vizumski režim, hkrati pa si zatiskata oči pred oblikami prekomernega izkoriščanja delavcev migrantov, je pojasnil Kurnik.	Po eni strani mednarodna skupnost in EU zavirata proces liberalizacije in zavlačujeta vizumski režim, hkrati pa si zatiskata oči pred oblikami prekomernega izkoriščanja delavcev migrantov, je dejal Kurnik.
Prva zahteva je, da se vzpostavijo mehanizmi za izterjavo tega, kar jim pripada, tj. plač, nadomestil plač in drugih delavskih pravic, ki so jim bile odvzete.	Prva zahteva je, da se vzpostavijo mehanizmi, s katerimi bodo lahko zahtevali, kar jim pripada, tj. plače, zaostala plačila in druge delavske pravice, ki so jim bile odvzete.
Prva zahteva je, da se vzpostavijo mehanizmi za izterjavo tega, kar jim pripada, tj. plač, nadomestil plač in drugih delavskih pravic, ki so jim bile odvzete.	Prva zahteva je, da se vzpostavijo mehanizmi, preko katerih bi lahko izterjali to kar se jim dolguje, se pravi plače, regres in druge pravice iz dela, ki so jim zanikane.
Druga zahteva pa je, da lahko vstopijo na svoboden trg dela v Sloveniji , to pomeni, da lahko dobijo osebna delovna dovoljenja.	Drugi pogoj je, da lahko vstopijo na prosti trg dela v Sloveniji, tj. da lahko pridobijo osebno delovno dovoljenje.
Vizuma za Slovenijo namreč po preteku delovnega dovoljenja niso mogli dobiti.	Po izteku delovnega dovoljenja nista mogla dobiti vizuma za Slovenijo.
Ob tem so izpostavili tudi obupne delovne pogoje, neplačevanje prispevkov, socialnega in zdravstvenega zavarovanja ter na predolgo in pogosto neplačano delo.	Opozorili so tudi na obupne delovne razmere, neplačevanje prispevkov, socialne varnosti in zdravstvenega zavarovanja ter pretirano in pogosto neplačano delo.
Opozorili so tudi na katastrofalne delovne pogoje, neplačevanje prispevkov, socialnega in zdravstvenega zavarovanja ter prekomerno in pogosto neplačano delo.	Opozorili so tudi na obupne delovne razmere, neplačevanje prispevkov, socialne varnosti in zdravstvenega zavarovanja ter pretirano in pogosto neplačano delo.
Če bi se kateri od delavcev pritožil delodajalcu v času, ko so še delali, bi ga nemudoma odpustili, opozarjajo delavci.	Če bi se delavec pritožil delodajalcu, medtem ko je še zaposlen, bi bil takoj odpuščen, opozarjajo delavci.
Če bi se kateri koli delavec pritožil delodajalcu, ko bi bil še zaposlen, bi bil takoj odpuščen, opozarjajo delavci.	Če bi se delavec pritožil delodajalcu, medtem ko je še zaposlen, bi bil takoj odpuščen, opozarjajo delavci.
Po njihovem mnenju so bosanske oblasti delno odgovorne za to, kar se je zgodilo v Sloveniji.	Bosanske oblasti so po njihovih navedbah soodgovorne za dogajanje v Sloveniji.
Bosanske oblasti so po njihovem mnenju soodgovorne za dogajanje v Sloveniji.	Po njihovem mnenju so bosanske oblasti delno odgovorne za to, kar se je zgodilo v Sloveniji.
Večina delavcev, ki so se danes zbrali v Sarajevu, je delala za slovensko gradbeno podjetje Prenova , ki je v lasti Zorana Perkovića.	Večina delavcev, ki so se danes zbrali v Sarajevu, je delala za slovensko gradbeno podjetje Prenova v lasti Zorana Perkovića.
Večina danes v Sarajevu zbranih delavcev je delala za slovensko gradbeno podjetje Prenova , ki je v lasti Zorana Perkovića.	Večina delavcev, ki so se danes zbrali v Sarajevu, je delala za slovensko gradbeno podjetje Prenova , ki je v lasti Zorana Perkovića.
Protest ni bil usmerjen le proti slovenskim delodajalcem in oblastem, ampak tudi proti bosanskim oblastem, češ da zanje niso storile ničesar.	Protest ni bil usmerjen le proti slovenskim delodajalcem in oblastem, ampak tudi proti bosanskim oblastem, ker zanje niso storile ničesar.
Protest ni bil usmerjen le proti slovenskim delodajalcem in oblastem, ampak tudi proti bosanskim oblastem, češ da zanje niso storile ničesar.	Protest pa ni letel le na slovenske delodajalce in oblast, veliko pripomb so podali tudi na bosansko oblast, češ da niso nič naredili za njih.
"Nezadovoljstvo z obnašanjem bosanskih oblasti so tako pokazali z današnjim protestom pred zgradbo zunanjega ministrstva BiH , kjer so vzklikali, da so bosanske oblasti krive za pošiljanje delavcev v Slovenijo, kjer "" jih obravnavajo kot živali"" ."	"Svoje nezadovoljstvo z ravnanjem bosanskih oblasti so danes protestirali pred stavbo zunanjega ministrstva BiH in vzklikali, da so bosanske oblasti krive, ker delavce pošiljajo v Slovenijo, kjer ""z njimi ravnajo kot z živalmi""."
"Danes so protestirali pred stavbo Ministrstva za zunanje zadeve Bosne in Hercegovine in izrazili nezadovoljstvo z ravnanjem bosanskih oblasti ter vzklikali, da so bosanske oblasti krive, ker delavce pošiljajo v Slovenijo, kjer z njimi ""ravnajo kot z živalmi""."	"Svoje nezadovoljstvo z ravnanjem bosanskih oblasti so danes protestirali pred stavbo zunanjega ministrstva BiH in vzklikali, da so bosanske oblasti krive, ker delavce pošiljajo v Slovenijo, kjer ""z njimi ravnajo kot z živalmi""."
Nato so se odpravili še proti slovenskemu veleposlaništvu v BiH , kjer so jih sprejeli predstavniki veleposlaništva.	Nato so se odpravili na slovensko veleposlaništvo v BiH, kjer so jih sprejeli predstavniki veleposlaništva.
Rok za rešitev 19. september	Rok 19. september
"Najprej so problem predstavili delavci, nato pa ""smo se z namestnikom veleposlanika dogovorili, da bomo poskušali opredeliti okvire in načine, kako bomo obravnavali ta problem in ga rešili za to skupino delavcev in tudi za druge delavce""."	"Najprej so delavci predstavili problem, nato pa "" smo le prišli z namestnikom veleposlanika do dogovora, da skušamo definirati okvire in poti, po katerih bi naslovili ta problem in rešili ta problem te skupine delavcev in tudi drugih delavcev"" ."
"Najprej so problem predstavili delavci, nato pa ""smo se z namestnikom veleposlanika dogovorili, da bomo poskušali opredeliti okvire in načine, kako bomo obravnavali ta problem in ga rešili za to skupino delavcev in tudi za druge delavce""."	"Najprej so delavci predstavili težavo, nato pa ""smo se z namestnikom veleposlanika dogovorili, da bomo opredelili okvir in način reševanja te težave za to skupino delavcev in tudi za druge delavce""."
Dogovorjeno je bilo, da morajo te institucije do 19. septembra rešiti vprašanje teh delavcev.	Dogovorili so se, da imajo te institucije čas do 19. septembra, da rešijo vprašanje teh delavcev.
Najprej je treba nadomestiti neizplačane plače in uresničiti vse pravice, ki so zaposlenim trenutno odvzete.	Najprej se morajo izplačati neizplačane plače in uresničiti vse pravice iz dela, ki so trenutno zanikane.
Najprej je treba izplačati neizplačane plače in uresničiti vse delavske pravice, ki so trenutno odvzete.	Najprej se morajo izplačati neizplačane plače in uresničiti vse pravice iz dela, ki so trenutno zanikane.
Dogovorili so se tudi, da se bodo predali dosjeji teh delavcev na ministrstvo za delo in nato na zavod za zaposlovanje, da jih bodo lahko obravnavali od primera do primera.	Dogovorjeno je bilo tudi, da bodo spisi teh delavcev predani ministrstvu za delo in nato zavodu za zaposlovanje, da bi jih lahko obravnavali za vsak primer posebej.
Dogovorili so se tudi, da se bodo predali dosjeji teh delavcev na ministrstvo za delo in nato na zavod za zaposlovanje, da jih bodo lahko obravnavali od primera do primera.	Dogovorjeno je bilo tudi, da bodo spisi teh delavcev predani ministrstvu za delo in nato upravi za delo, ki jih bo obravnavala za vsak primer posebej.
"Po besedah Kurnikova ""je treba upoštevati, da so ti ljudje veliko trpeli, da so se jih izogibali, da so jim lagali, da jim je Slovenija dala vizume v potnih listih, ni pa jim dala nobenih mehanizmov, da bi te pravice uveljavljali""."	"Po Kurnikovih besedah ""je treba upoštevati, da so ti ljudje veliko pretrpeli, da so se jih izogibali, da so jim lagali, da jim je Slovenija dala vizume v njihovih potnih listih, ni pa jim dala nobenih mehanizmov, da bi zahtevali te pravice""."
"Pri tem je po Kurnikovih besedah treba upoštevati, "" da so ti ljudje ogromno prestali, da so bili izigrani, da se jim je lagalo, da jim je Slovenija dala vizume v potne liste, ni jim pa dala nobenih mehanizmov, da tudi terjajo te pravice"" ."	"Po Kurnikovih besedah ""je treba upoštevati, da so ti ljudje veliko pretrpeli, da so se jih izogibali, da so jim lagali, da jim je Slovenija dala vizume v njihovih potnih listih, ni pa jim dala nobenih mehanizmov, da bi zahtevali te pravice""."
Poleg tega pa je prišlo v telefonskem razgovoru z ministrstvom za delo do govora o tem, da se pospešijo postopki za spremembo zakona o zaposlovanju in delu tujcev ter da se pospeši sprejetje sporazuma med Slovenijo in BiH o zaposlovanju.	V telefonskem pogovoru z Ministrstvom za delo so se pogovarjali tudi o pospešitvi postopkov za spremembo Zakona o zaposlovanju in delu tujcev ter o pospešitvi sprejema Sporazuma med Slovenijo in BiH o zaposlovanju.
Poleg tega pa je prišlo v telefonskem razgovoru z ministrstvom za delo do govora o tem, da se pospešijo postopki za spremembo zakona o zaposlovanju in delu tujcev ter da se pospeši sprejetje sporazuma med Slovenijo in BiH o zaposlovanju.	Poleg tega je bilo v telefonskem pogovoru z ministrstvom za delo govora o pospešitvi postopkov za spremembo Zakona o zaposlovanju in delu tujcev ter o pospešitvi sprejetja sporazuma med Slovenijo in BiH o zaposlovanju.
Po podatkih Sarajeva-X ni bilo nobenih incidentov, demonstracije pa so spremljali pripadniki notranjega ministrstva sarajevskega kantona.	Po poročanju Sarajevo-X ni bilo zabeleženih nobenih incidentov, demonstracije pa so spremljali tudi pripadniki ministrstva za notranje zadeve kantona Sarajevo.
Po podatkih Sarajeva-X ni bilo nobenih incidentov, demonstracije pa so spremljali pripadniki notranjega ministrstva sarajevskega kantona.	Po podatkih Sarajeva-X niso poročali o nobenih incidentih, demonstracije pa so spremljali pripadniki sarajevskega kantonskega notranjega ministrstva.
Odkup pivovarne s strani uprave ne bo mogoč, pravijo Laščani.	Menedžerskega odkupa Pivovarne ne bodo izvedli, zatrjujejo Laščani.
Odkup pivovarne s strani uprave ne bo izveden, pravijo Laščani.	Odkup pivovarne s strani uprave ne bo mogoč, pravijo Laščani.
Zastavitev Mercatorjevih delnic so označili za špekulacije.	Zastavitev delnic Mercatorja je bila označena kot špekulacija.
Trditve Radia Slovenije, da so Pivovarna Laško in z njo povezane družbe del Mercatorjevih delnic že zastavile za bančna posojila, ki naj bi bila namenjena menedžerskemu odkupu Pivovarne Laško, se v Laškem zdijo nesmiselne špekulacije.	Trditve Radia Slovenije, da so Pivovarna Laško in z njo povezana podjetja del Mercatorjevih delnic že zastavili za bančna posojila, s katerimi bi izvedli menedžerski odkup Pivovarne Laško, v Laškem ocenjujejo kot nesmiselne špekulacije.
Navedbe Radia Slovenije, da naj bi Pivovarna Laško in z njo povezane družbe že zastavile del delnic Mercatorja za bančna posojila, s katerimi naj bi izvedle menedžerski odkup laške pivovarne , v Laškem ocenjujejo kot nesmiselne špekulacije.	Trditve Radia Slovenije, da so Pivovarna Laško in z njo povezane družbe del Mercatorjevih delnic že zastavile za bančna posojila, ki naj bi bila namenjena menedžerskemu odkupu Pivovarne Laško, se v Laškem zdijo nesmiselne špekulacije.
Odkup pivovarne s strani uprave ni mogoč, pravijo prebivalci Laščanov	Managerskega odkupa pivovarne ne bo, pravijo Laščani
Prebivalci Laščanov ne dovolijo menedžerskega odkupa pivovarne	Odkup pivovarne s strani uprave ni mogoč, pravijo prebivalci Laščanov
Spomnimo, da je Urad za varstvo konkurence prejšnji četrtek Pivovarni Laško in družbam okoli nje (Pivovarna Union, Radenska, Infond Holding, Center naložbe in Kolonel) prepovedal prodajo delnic Mercatorja, ker naj bi skupaj pridobile 57,23-odstotni delež Mercatorja in s tem skupni nadzor nad družbo, česar pa niso pravočasno prijavile.	Spomnimo, da je Urad za varstvo konkurence prejšnji četrtek Pivovarni Laško in družbam okoli nje (Pivovarna Union, Radenska, Infond Holding, Center Investments in Kolonel) prepovedal razpolaganje z delnicami Mercatorja, ker naj bi skupaj pridobile 57,23-odstotni lastniški delež Mercatorja in s tem skupni nadzor nad družbo, česar pa v roku niso sporočile.
Spomnimo, da je urad za varstvo konkurence minuli četrtek Pivovarni Laško in družbam okoli nje ( Pivovarna Union, Radenska, Infond Holding, Center naložbe in Kolonel) prepovedal razpolaganje z delnicami Mercatorja, ker naj bi skupaj pridobile 57,23- odstotni lastniški delež Mercatorja in s tem skupni nadzor nad družbo, česar pa v roku niso priglasile.	Spomnimo, da je Urad za varstvo konkurence prejšnji četrtek Pivovarni Laško in družbam okoli nje (Pivovarna Union, Radenska, Infond Holding, Center Investments in Kolonel) prepovedal razpolaganje z delnicami Mercatorja, ker naj bi skupaj pridobile 57,23-odstotni lastniški delež Mercatorja in s tem skupni nadzor nad družbo, česar pa v roku niso sporočile.
Varuh konkurence tako zdaj vodi postopek presoje koncentracije.	Varuh konkurence zdaj izvaja pregled združevanja.
V.d. direktorja urada Jani Soršak pravi:	V. d. direktorja Jani Soršak pravi:
pravi v. d. direktorja Jani Soršak:	V.d. direktorja urada Jani Soršak pravi:
""" Nihče mi ni nikoli rekel, naj karkoli naredim."	""" Nihče mi ni nikoli naročil, da sprožim kakršnikoli postopek."
""" Nihče mi ni nikoli rekel, naj ukrepam."	""" Nihče mi ni nikoli rekel, naj karkoli naredim."
"Ob prevzemu položaja sem povedal, da bomo v vseh primerih, kjer bomo sumili na kršitve zakona, dosledno uvajali postopke,"" je zatrdil Soršak in dodal, da urad za varstvo konkurence ni v nikakršni vojni z nikomer."	"Ob nastopu funkcije sem dejal, da bomo dosledno izvajali postopke v vseh primerih, v katerih sumimo kršitev zakona,"" je dejal Soršak in dodal, da urad za varstvo konkurence ni v vojni z nikomer."
