sentence0;sentence1;sentence2;sentence3
 Nekaj malega za pozneje.; Nekaj malega za kasneje.; In uleči se bo moral.; No, to tudi.
 Ker vem, kako zelo jo potrebuješ.; Ker vem, kako močno to potrebuješ.; To stvar imam rad zato, ker si mi jo ti dala.; Tako zelo sem jo Ijubil.
 Čas teče, prijatelj moj.; Sobota je, draga.; Tebe ni več...; Živjo, prijatelj.
 Zmanjkuje nama časa.; Ura teče prijatelj. Zmanjkuje nama časa.; To je najina edina izbira, ne?; Poskusiva na drugačen način.
 Priskoči mi na pomoč.; Povej mu zakaj.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.; Če jih usposobite, me takoj poišči. Marshalla morata opraviti pomemben klic.
 Lahko bi zašel v težave.; Lahko bi zabredel v težave.; To boste morali vprašati njega.; Lahko bi bil mrtev.
 Sem mrtva?; Sem mrtva?; Ali mislite, da sem nora?; Kako bom preživela?
 Tako zelo mi je žal.; Tako žal mi je.; Pogrešala sem te.; Tako mi je žal, ampak...
 Zakaj me nisi rešil?; Zakaj me nisi rešil?; Da mi boš lahko spet lagal?; Me nisi niti malo poslušal, ko sem govorila?
 Poskušal sem, hotel sem, a ko sem prišel, je bilo že prepozno.; Poskušal sem, hotel sem, ampak preden sem prišel tja, je bilo prepozno.; Enkrat sem prišel ven, ne pa dvakrat, nikoli dvakrat.; To mi je povedala, pa je nisem poslušal.
 Vidiš?; Vidiš?; Je to jasno?; Ali me ne prepoznaš, Andrew?
 Kaj niso lepi?; Ali niso čudoviti?; Kaj, če bi jih lahko nadzorovali?; Kam bodo pa šli?
 Zakaj si vsa mokra, ljubica?; Zakaj si vsa mokra, punči?; Zakaj si vsa mokra, punči?; Zakaj si vsa mokra?
 Laeddis ni mrtev.; Laeddis ni mrtev.; Lahko bi bil mrtev.; Ona je mrtva.
 Ni izginil.; Ni odšel.; Nikdar ni odšla.; Lahko bi bil mrtev.
 Še vedno je tu.; Še vedno je tu.; Še je tukaj.; Tukaj je.
 Vem.; Sem.; Potem...; Torej da,...
 Najti ga morava, Teddy. Najdi ga in ga ubij.; George, spravil te bom od tod. Ne boš šel v svetilnik. Ne boš.; Ne odhajaj tja Teddy, prosim. Prosim, ne delaj tega. Ne odhajaj tja.; To je otok, šef. Vedno naju bodo našli.
 Je že v redu.; V redu je.; No, to tudi.; V redu bom.
 Si dobro, šef?; Si v redu šef?; Šef, ste v redu?; Kje si, Chuck?
 Ta presneta migrena!; Ta prekleta migrena!; Sranje, ne pride v poštev! Sranje!; Jebeš ga, če jaz vem!
 Rezervni generator je zatajil. Vsi so ponoreli.; Upravnik je s svojimi možmi prečesal cel otok, niti sledu.; Izvlekel se je. Laeddis se je izvlekel in nato izginil.; Pomožni generator se je pokvaril. Zdaj je tu res prava norišnica.
 Kaj boš naredil?; Kaj boš storil?; Kaj bi rad naredil?; Zakaj me nisi rešil?
 Misliš, da je scvrlo celoten električni sistem? -Zelo verjetno.; V tej soseski? -Da, bojim se, da res.; Kaj je bilo takega? -Bilo je očitno.; Ni to kakšen izraz v psihiatriji? -Bojim se, da ne.
 Elektronski varnostni sistem, ograje, zapornice, vrata.; In kovinske rešetke vsepovsod.; Ograja pod visoko napetostjo.; Vsa električna zaščita...
 Lep dan za sprehod, se ti ne zdi? Recimo do oddelka C.; Lep dan za potep, kaj praviš? Do oddelka C na primer.; Svojega profesorja je pretepel skoraj do smrti. In pristal tu v Ashcliffu, na oddelku C.; Mogoče ne bi smeli od tod.
 Mogoče naletiva na Andrewa Leaddisa.; Mogoče naletiva na Andrewa Leaddisa.; Njegov odvetnik se sklicuje na norost, Noyce pa... Noyce, vstane v sodni dvorani in prosi sodnika za električni stol.; Zgleda, da je imel dolg pogovor s paranoidnim shizofrenikom, Georgom Noycem.
 Tip, o katerem sem ti govoril, George Noyce?; Fant o katerem sem ti pravil, George Noyce?; Moj Jim je mrtev. Torej, kdo za vraga si ti?; George, kako so te spravili iz zapora Dedham, kaj?
 Povedal mi je, da tu zadržujejo tiste najhujše.; On mi je povedal, da imajo tukaj priprte najhujše.; Kaj? -Tukaj izvajajo poskuse na Ijudeh.; Lahko bi prisegel, da so bili v mojem... suknjiču, ko sem se vkrcal.
 Take, ki se jih celo ostali zaporniki bojijo.; Tipe, ki se jih celo ostali sojetniki bojijo.; Tiste, ki jih druge bolnice ne morejo obvladovati.; Preveč, da bi si jih sploh predstavljal.
 Ti je Noyce kaj povedal o razporeditvi? -Ne ravno.; Ti je Noyce dal kakšen podatek o razporeditvi prostorov? -V bistvu ne.; Ne poznaš me. -Oh, seveda te.; Ne, ne poznaš me. -Oh, seveda te.
 Spomni se le, da ljudje noč in dan kričijo, ni oken, povsod so rešetke.; Še bolj vznemirjajoče pa je, da ne vemo, kako je prišla iz svoje sobe.; Vse kar se je spomnil je bilo kričanje Ijudi dan in noč, brez oken.; On mi je povedal, da imajo tukaj priprte najhujše.
 Zaboga! -Prvič na oddelku C, kaj?; Prvič na oddelku C, kaj?; Šef! -Ostale bombe eksplodirajo, je tako?; Dajmo še enkrat! -Dobro.
 Ja. -Ja. Slišala sva zgodbice ... -Verjemi, sine, en drek sta slišala.; Slišala sva zgodbe ampak... -Verjemi sinko. Nič nista slišala.; Nisva bila vzgojena, da bi bežala, doktor. -Ah, da...; Oprosti... Jaz... nisem... -Je že v redu.
 Večino tega mrčesa smo polovili, a nekaj jih je še na prostosti.; Večino golazni imamo sedaj pod ključem, nekateri pa so še vedno na prostosti.; Še bolj vznemirjajoče pa je, da ne vemo, kako je prišla iz svoje sobe.; Če bi bili samo Ijudje, ki se sprehajajo naokrog, slišijo glasove in se podijo za metulji, potem nas nebi potrebovali.
 Če katerega vidite, ga ne skušajta zadržati sama.; In če vidita koga, ga ne poskušajta obvladati sama.; Zato ne moreta kar izbrati, da jo boste preboleli.; Dajte jim tableto, postavite jih v kot in vse bo izginilo.
 Ti norci vaju lahko ubijejo. Jasno? Dobro, pojdita.; Dobro. Zdaj pa premaknita svoje riti. Gremo.; Posušita se. Dr. Cawley bi rad govoril z vama. Takoj!; Preveč južno sva. Obrniti se bova morala.
 Tukaj je.; Tukaj je.; Tukaj je.; Tukaj si.
 Laeddis.; Laeddis.; Laeddis.; Laeddis.
 Lahko ga čutim.; Zaradi mene lahko.; Ker vem, kako močno to potrebuješ.; Ona je tukaj.
 Ti loviš!; Ljubi bog!; Poslušaj me!; Pazi!
 Ted!; Ted!; Chuck!; Chuck!
 Hej! Hej!; Hej!; Daj! Daj!; Daj!
 Hej! Hej!; Hej!; Daj! Daj!; Daj!
 Teddy!; Ted!; Chuck!; Chuck!
 Poslušaj me!; Poslušaj me!; Andrew, poslušaj me.; Povej mu Teddy...
 Poslušaj! Nočem oditi od tu.; Ne, nikdar ne bom prišla od tod. Nisem prepričana niti, da bi smela.; Ne, ne bom te ubil.; Zdaj ne bom več prišel ven.
 Zakaj bi sploh kdo hotel? Tu slišimo stvari o zunanjem svetu.; Mislim, zakaj bi sploh kdo hotel? Tukaj slišimo stvari.; Nazaj na celino, karkoli za vraga se že dogaja tukaj, je slabo.; Mislim, Ijubi Bog! Vse na tem mestu smrdi po vladnih operacijah.
 O dogodku na atolu. O preizkušanju vodikovih bomb.; O zunanjem svetu. O atolih.; Vse njih... Vse... vse... zaostale, morilce, črnce.; Medicinskih sester, stražarjev, bolničarjev. Vseh, ki so bili takrat v službi.
 Veš, kako deluje vodikova bomba? -Z vodikom. -Zelo smešno. -Šef!; Nisem tukaj, da bi kogarkoli ubil. -Lažnivec!; Samo še malo. -Oh bog, Teddy...; Nisva bila vzgojena, da bi bežala, doktor. -Ah, da...
 Ostale bombe eksplodirajo. A ne vodikova bomba.; Za nore kriminalce.; Ne pa vodikova bomba. Ta povzroči implozijo.; V tem sranju ne bo trajekta.
 Ta implodira. Nastane tisočkrat, milijonkrat močnejša eksplozija.; Ustvari eksplozijo v tisočih, milijonih stopinj.; Ne pa vodikova bomba. Ta povzroči implozijo.; Kot da bi izparela naravnost skozi stene.
 Razumeš? -Ja, ja! -Mar res? -Razumem, razumem! -Spusti ga!; Pozabi jo. -Povej mu o dnevu, ko si mi prinesel moj medaljon. -To moraš narediti!; Nazaj hočem. -Primite ga!; Takoj! Spusti to!
 Kaj počneš?; Ali zato piješ?; Kaj je to, doktor?; Kaj?
 Za božjo voljo, Teddy. Ljubi bog! -Sta ujela Billingsa?; Kot da ji je bilo naročeno točno, kaj naj pove. -Kdo je Andrew Laeddis?; Bedarija? Sem sva prišla zaradi Rachel Solando?; Šef! -Ostale bombe eksplodirajo, je tako?
 Kaj je narobe z vama, jebenti? Morata jih ujeti, ne ubiti!; Kaj za vraga je narobe z vama? Poloviti jih moramo, ne pobiti.; Kaj pa praviš na to? Našli so naju, ne?; Kaj za vraga šef, jaz sem tvoj partner, za božjo voljo!
 Napadel naju je. -Pomagajte mi. Odvesti ga moram v ambulanto.; Ne, ne. S tem je mislil, da je bila moja krivda. -Skoraj ubili ste ga.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.; Dajte no, res? In kdaj je bilo to? -Doktorico sem našel v jami ob pečinah, ampak... nikdar je ne boste našli.
 Prekleto. Ne, vi ne. Sprehodite se. Dajmo!; Prosim... nehajte!; Prosim, prosim!; Dajmo še enkrat! -Dobro.
 Cawley me bo zaradi tega za jajca ...; Cawley mi bo zaradi tega odrezal jajca.; Ne, dr. Sheehan je dober zdravnik, on nebi nikdar...; Če ne bomo uspeli s tabo...
 Laeddis ...; Laeddis...; Laeddis...; Laeddis...
 Laeddis ...; Laeddis...; Laeddis...; Laeddis...
 Prosim ... Moj bog ... Ustavi me, preden jih ubijem še več.; Ustavi me. Preden ubijem še koga.; Ne bom ga ubil! Prisežem ti... Prisežem!; Ampak če... Če se ne grem več te vaše male igrice tukaj, me bo dr. Naehring spremenil v enega svojih duhov.
 Laeddis ...; Laeddis...; Laeddis...; Laeddis...
 Rekel si mi, da me boš osvobodil tega kraja.; Rekel si mi, da se bom osvobodil tega mesta.; Ampak pomagal ti bom priti s tega otoka.; Ta kraj te bo pokončal.
 Obljubil si.; Obljubil si.; Tukaj si.; To bo tvoj konec.
 Lagal si.; Lagal si.; Prisedi.; To ni Jim!
 Laeddis?; Laeddis?; Laeddis?; Dolores?
 Laeddis!?; Laeddis?; Laeddis?; Legendo?
 To je prekleto smešno.; To je pa res prekleto smešno.; To je neumnost.; Jebeš ga, če jaz vem!
 Tvoj glas ... -Ga ne prepoznaš?; Tvoj glas... -Ali ga ne prepoznaš?; Ali me ne prepoznaš, Andrew?; Prosim, Bog, ne.
 Po vseh najinih pogovorih?; Po vseh najinih pogovorih?; Po vseh lažeh, ki si jih izrekel?; Se je zgodilo kaj nenavadnega?
 Po vseh tvojih lažeh? -Naj vidim tvoj obraz.; Kako lahko verjameš noremu fantu? -To je vsa lepota tega, ali ne?; Kako za hudiča to misliš? -Več kot govoriš, s svojo jebeno govorico...; Mogoče bo zjutraj... -Si blefiral?
 Pravijo, da sem sedaj njihov.; Pravijo, da bom ostal tukaj za vedno.; Pokaži mi svoj obraz. -Pravijo, da sem zdaj njihov.; Trenutno smo vsi.
 Pravijo, da nikoli ne bom odšel od tu.; Pravijo, da bom ostal tukaj za vedno.; Niti preklete pijače nisem spil, odkar sem na tem otoku.; Cawley mi bo zaradi tega odrezal jajca.
 Vžigalica ti bo izgorela.; Vžigalica ti bo ugasnila.; To bo tvoj konec.; Ti si jebena podgana v labirintu.
 Pokaži mi že svoj obraz! -Zakaj? Da mi boš lahko še bolj lagal?; Takoj mi pokaži svoj prekleti obraz! -Zakaj?; Kako lahko verjameš noremu fantu? -To je vsa lepota tega, ali ne?; Nikakor ne. -Povejte mi en sam razlog, zakaj bi se ga sploh dotaknil?
 Tu ne gre za resnico. -Ja, gre. Gre za razkritje resnice. -Zate gre!; Si razumel? -Ja. ja. -Sigurno? -Razumem, razumem!; Gre za pojasnitev resnice. -Zate gre!; Pozabi jo. -Povej mu o dnevu, ko si mi prinesel moj medaljon. -To moraš narediti!
 In za Laeddisa.; In Laeddisa.; Prisedi.; Laeddis ni mrtev.
 Vedno je šlo le za to.; Vedno je bilo samo to.; Enkrat sem prišel ven, ne pa dvakrat, nikoli dvakrat.; S tem se moraš sprijazniti.
 Jaz sem bil le postranskega pomena.; Tega nisem rekel.; To mi je povedala, pa je nisem poslušal.; Ja, in imel sem dovolj pobijanja.
 Pot noter.; In Laeddisa.; Laeddis.; Laeddis.
 George? George Noyce?; George? George Noyce?; Dr. Sheehan?; Teddy?
 Ne, to ni mogoče. Ne moreš biti tukaj.; Ne, to ni mogoče, ti ne moreš biti tukaj.; To moraš narediti. Druge izbire nimaš.; Ne, nikdar ne bom prišla od tod. Nisem prepričana niti, da bi smela.
 Ti je všeč?; Ti je všeč?; Si ga mogoče videla?; Si v redu šef?
 Kdo ti je to naredil, George? -Ti. -Kaj, hudiča, misliš s tem?; Vsaj jaz tako mislim. -In ti misliš, da se to tukaj dogaja?; Kaj se je pa zgodilo s tabo? -Kako to misliš?; George, motiš se... motiš se. -Oh... ali res?
 Vse te tvoje jebene besede! Tu sem zaradi tebe!; Ne bom ga ubil! Prisežem ti... Prisežem!; Jaz pa sem tukaj... samo zaradi tebe!; Kaj za vraga šef, jaz sem tvoj partner, za božjo voljo!
 George, kako so te spravili iz Dedhama?; George, kako so te spravili iz zapora Dedham, kaj?; Kje si, Chuck?; Kaj pravzaprav misliš tukaj storiti, Ted?
 Kakorkoli že je do tega prišlo, našel bom način, da to popravim, razumeš?; Kako se je to zgodilo? Našel bom način, da to popravim. Si razumel?; Kot sem že rekel, nihče ni hotel govoriti o tem, razumeš?; Tukaj se pa moraš odločiti. Saj to razumeš, ali ne?
 Nikoli ne bom prišel ven.; Zdaj ne bom več prišel ven.; Ne bom odšel.; Ne bom odšel.
 Uspelo mi je enkrat. Drugič mi nikoli ne bo.; Čestitam. Nič več normalnega zanjo, nikdar več, ne.; No, imela sem svoje črne dni. Mislim, da jih imamo vsi.; Zaradi mene lahko.
 Povej mi, kako so te spravili sem? -Vedeli so! Kaj ne razumeš?; Povej mi, kako so te spravili sem? -Oni vejo!; Kaj se je pa zgodilo s tabo? -Kako to misliš?; Vsaj jaz tako mislim. -In ti misliš, da se to tukaj dogaja?
 Vse, kar si nameraval. Tvoj celoten načrt.; Vse kar si nameraval. Ves tvoj načrt.; Tista, ki ti nenehno govori, da bi jo moral rešiti. Rešiti vse.; To je igra. Vse to... je zaradi tebe.
 To je igra. Vse to je zate. Ničesar ne preiskuješ.; To je igra. Vse to... je zaradi tebe.; Ničesar ne preiskuješ.; To moraš narediti. Druge izbire nimaš.
 Jebena podgana v labirintu si.; Ti si jebena podgana v labirintu.; Mrtev si.; Jebeš ga, če jaz vem!
 George, motiš se.; George, poglej...; Andrew, prosim prenehaj.; To je neumnost.
 Res? Si bil kaj sam, odkar si prišel sem?; Ti si me opazoval, ne?; Kako se je to zgodilo? Našel bom način, da to popravim. Si razumel?; Si bil kdaj sam, odkar si prišel sem?
 S svojim partnerjem sem. -Nikoli prej nisi delal z njim, ne?; Mogoče bo zjutraj... -Si blefiral?; Gospod, ničesar nisem videl. -In vso noč si bil na svojem mestu?; George, motiš se... motiš se. -Oh... ali res?
 Zvezni šerif je. -Nikoli prej nista delala skupaj, kajne?; George, motiš se... motiš se. -Oh... ali res?; Je vse v redu z vami? Bledi zgledate. -V redu sem, samo...; Kako lahko verjameš noremu fantu? -To je vsa lepota tega, ali ne?
 George, poslušaj ... Poznam ljudi. Njemu zaupam.; Poznam Ijudi. Zaupam temu človeku.; Čutim ga.; Točno tako, Marshal.
 Potem so že zmagali.; Potem so pa že zmagali.; Samo za eno mesto se res nihče ni zmenil.; Privijali smo jim vijake v možgane.
 Pizda!; To ni Jim!; Kristus!; Kristus!
 Odpeljali me bodo v svetilnik.; Odpeljali me bodo... v svetilnik.; Odpeljal vaju bom do Ashcliffa.; Odvrgel sem vajina oblačila, da jih očistijo.
 Rezali mi bodo v možgane. In tu sem samo zaradi tebe!; Jaz pa sem tukaj... samo zaradi tebe!; Ne bom ga ubil! Prisežem ti... Prisežem!; Ti si me zvlekel v to, šef. In zdaj sva zajeta tukaj...
 George, spravil te bom od tu. Ne boš šel v svetilnik.; George, spravil te bom od tod. Ne boš šel v svetilnik. Ne boš.; Ne, ne bom te ubil.; Oprosti, ampak oditi boš moral.
 Ne moreš istočasno izkopati resnice in ubiti Laeddisa.; Ne moreš odkriti resnice in ubiti Laeddisa istočasno.; Najti ga moraš in ga ubiti.; Ampak Cawley misli, da si nedolžen, da te je lahko obvladovati, jaz pa vem, da ni tako.
 Odločiti se moraš, saj razumeš, kajne?; Tukaj se pa moraš odločiti. Saj to razumeš, ali ne?; Samo pozabi na to...; Še nikdar nisi delal z njim, je tako?
 Tu nisem, da bi ubijal. -Lažnivec! -Ne bom ga ubil, prisežem! Prisežem!; Ne bom ga ubil! Prisežem ti... Prisežem!; Nisem tukaj, da bi kogarkoli ubil. -Lažnivec!; Nazaj hočem. -Primite ga!
 Mrtva je.; Ona je mrtva.; Umrla je.; Naučena je bila.
 Pozabi jo.; Pozabi nanjo.; Povej mu zakaj.; Hočeš odkriti resnico? Pozabi nanjo.
 Pozabi jo.; Pozabi nanjo.; Povej mu zakaj.; Hočeš odkriti resnico? Pozabi nanjo.
 Povej mu, Teddy. Povej mu, zakaj.; Povej mu zakaj.; Kdo... kdo... kdo si ti? Kdo si ti? Povej mi.; Ne odhajaj tja Teddy, prosim. Prosim, ne delaj tega. Ne odhajaj tja.
 To moraš storiti. Drugega načina ni.; To moraš narediti. Druge izbire nimaš.; S tem se moraš sprijazniti.; Ne smeš oditi.
 Pozabi jo. -Povej mu o dnevu, ko si mi prinesel medaljon. -Moraš!; Pozabi jo. -Povej mu o dnevu, ko si mi prinesel moj medaljon. -To moraš narediti!; Ne morem. -Pozabiti moraš nanjo!; Nazaj hočem. -Primite ga!
 Povedala sem ti, da se mi trga srce in vprašal si me zakaj. -Za - zaj ...; Oprosti... Jaz... nisem... -Je že v redu.; In sem ti povedala, da je to od sreče. -Ubila te bo. Ubila te bo.; Kako za hudiča to misliš? -Več kot govoriš, s svojo jebeno govorico...
 Zajebava te v glavo. -Rekla sem ti, da od sreče. -Ubila te bo.; In sem ti povedala, da je to od sreče. -Ubila te bo. Ubila te bo.; Oprosti... Jaz... nisem... -Je že v redu.; Dajte no, res? In kdaj je bilo to? -Doktorico sem našel v jami ob pečinah, ampak... nikdar je ne boste našli.
 Želiš odkriti resnico? Njo moraš pozabiti.; Hočeš odkriti resnico? Pozabi nanjo.; To moraš narediti. Druge izbire nimaš.; Najti ga moraš in ga ubiti.
 Ne morem. -Moraš jo pozabiti! -Ne morem! Ne morem!; Ne morem. -Pozabiti moraš nanjo!; Ne bom ga ubil! Prisežem ti... Prisežem!; Si razumel? -Ja. ja. -Sigurno? -Razumem, razumem!
 Potem pa nikoli ne boš zapustil tega otoka.; Potem pa nikdar ne boš zapustil tega otoka.; Nikoli ne boš odšel od tod.; Ampak pomagal ti bom priti s tega otoka.
 Dolores?; Dolores?; Dolores?; Dolores?
 Ni ga na tem oddelku.; On ni na temu oddelku.; Prepričan sem, da ga ni na oddelku B, tako da ostane samo oddelek C.; Ni ga na oddelku A, samo še na enem mestu je lahko...
 Premeščen je bil stran.; Premeščen je bil... stran od tod.; rada ga je vlekla.; Ni odšel.
 Če ga ni na oddelku A, obstaja le eno mesto, kjer bi lahko bil.; Prepričan sem, da ga ni na oddelku B, tako da ostane samo oddelek C.; On ni na temu oddelku.; Samo eno mesto obstaja, kamor bi ga odpeljali.
 Svetilnik.; Svetilnik.; Ogaben pasji sin.; Protokol.
 Ej!; Hej!; Daj!; Daj no!
 Bog ti pomagaj.; Bog s tabo.; Ne, ne, prosim, Bog.; Ti mi povej.
 Šef, težave imamo. McPherson  in Cawley sta v stavbi.; Šef, problem imava, McPherson in Cawley sta v zgradbi.; Kaj vi delate tukaj? -Opravljamo svoje prekleto delo.; Vi nimate partnerja, Marshal. Sami ste prišli sem.
 Izvedeli so, da se je strežnik znesel nad pacientom.; Očitno je bil včeraj na oddelku C neznan moški.; Bila je na skupinski terapiji.; Trdila je, da otroci niso mrtvi.
 Povsod ga iščejo. Namenjeni so na streho. Izginiva od tu. V to smer.; Nemogoče, da greva preko teh skal. Lahko, da je pot za temi drevesi.; Greva s tega prekletega otoka. Ti in jaz.; Samo naprej. Midva spadava sem.
 Samo hodiva naprej. Spadava sem.; Samo naprej. Midva spadava sem.; Ura teče prijatelj. Zmanjkuje nama časa.; Skriti se morava, tole tukaj se spreminja v jebeni Kansas.
 Kaj se ti je zgodilo? -Kaj to misliš?; Kaj se je pa zgodilo s tabo? -Kako to misliš?; Vsaj jaz tako mislim. -In ti misliš, da se to tukaj dogaja?; Mogoče bo zjutraj... -Si blefiral?
 Kje si bil? -Ko sva onega odpeljala v ambulanto, sem šel gledat arhive pacientovih kartotek.; Ko sva odpeljala tistega tipa v ambulanto, sem naredil ovinek.; Mogoče... sem odšel v kopalnico.; Kaj? Kršil si protokol? Kristus... -Niti minuto nisem bil noter.
 Si našel Laeddisa? -Ne. Nisem ga našel.; Vas je kdajkoli osvajal? -Ne.; Točno! -Ne, Žal mi je.; Jaz sem samo kosti v zaboju, Teddy. -Ne.
 Imam drugo najboljšo stvar. Njegov sprejemni list.; Ne. Nisem ga našel. -Zate imam še eno dobro stvar. Njegov sprejemni list.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.; Jaz... oprostite mi doktor, samo eno hitro vprašanje imam.
 Edina stvar v njegovi kartoteki. Ni zaznamkov o seansah ali izgredih.; Izginil je, kot da nebi nikdar obstajal. Nikakršnega poročila ni o tem.;" Ne. Ne. Pravi, da je to v zvezi z ""mano in Laeddisom""."; Ne, ne, ne šef. Sreča ne funkcionira na ta način.
 Ni slik. Samo tole. Bilo je čudno. Izvoli, poglej.; To je bila edina stvar v njegovi kartoteki. Nobenih zaznamkov ali poročil o incidentih, nobenih fotografij... samo tole. Zelo nenavadno. Tukaj, poglej.; Ti si me zvlekel v to, šef. In zdaj sva zajeta tukaj...; Dobro. Mogoče je bolje zate, da izpustiš tole.
 Pozneje bom pogledal.; Mogoče... sem odšel v kopalnico.; Do tega svetilnika grem.; Kasneje ga bom pregledal.
 Kaj je narobe, šef? -Pozneje bom pogledal, to je vse.; Kaj je narobe z njim, doktor? -Tole vzemite, Marshal.; Kaj ste naredili z mojo prekleto pištolo? -To je igrača, Andrew.; Lahko... lahko dobim kozarec vode, prosim? -Ni problema.
 Ashecliffe je v to smer. -Ne grem v Ashecliffe.; Ashcliff je v tej smeri. -Ne grem v Ashcliff.; Greva takoj stran od tod. -Semkaj.; To je pomembno. -Žal mi je, šef.
 Do svetilnika grem. Izvedel bom, kaj se dogaja na tem otoku.; Zvedel bom, kaj za vraga se dogaja na tem otoku.; Ne, jaz samo... namenjen sem proti trajektu.; Oh, Samo... potepal sem se, ogledoval sem si vaš otok.
 Tukaj je.; Tukaj je.; Tukaj je.; Tukaj si.
 Prekleto! Preveč južno sva. Morala bova nazaj.; Preveč južno sva. Obrniti se bova morala.; Samo naprej. Midva spadava sem.; Ti si me zvlekel v to, šef. In zdaj sva zajeta tukaj...
 Ni mogoče, da bi lahko prečkala tiste skale.; Nemogoče, da greva preko teh skal. Lahko, da je pot za temi drevesi.; Nihče ni mogel priti v ali zapustiti sobe skozi ta hodnik, ne da bi ga jaz videl.; Bojim se, da bi lahko našli mene, če bi prišli iskat tebe.
 Morda bi lahko šla za tistimi drevesi.; Nemogoče, da greva preko teh skal. Lahko, da je pot za temi drevesi.; Mogoče ne bi smeli od tod.; Hotela je, da potegnem ven svojega tiča, da bi se mu lahko smejala.
 Mogoče obstaja pot okoli skal, ki vodi do svetilnika. Pridi.; Pridi.; Pridi.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.
 Kaj počneva? Imava sprejemni list.; Greva. -Čakaj, kaj sploh delava? Sprejemni list imava.; Ura teče prijatelj. Zmanjkuje nama časa.; Hej šef?... Ali res odhajava?
 To je dokaz obstoja 67. pacienta, za katerega pravijo, da ne obstaja.; Dokazuje, da je tukaj 67-ti pacient, za katerega pravijo, da ne obstaja.; Kar pomeni, da je skupaj 66 pacientov v tej ustanovi.; Iskreno, če bi sam odločal o tem, bi vklenil tudi vseh 42 pacientov z oddelka A in B.
 Šel bom do svetilnika, me razumeš?; Do tega svetilnika grem. Ti je jasno?; Kaj za vraga naj ti rečem, da te ustavim?; Poslušaj! Ne bi rad odšel od tod, jasno?
 Kaj naj ti rečem, da te ustavim? -Zakaj bi me hotel ustaviti?; Kaj se je pa zgodilo s tabo? -Kako to misliš?; Kaj za vraga naj ti rečem, da te ustavim?; Takoj mi pokaži svoj prekleti obraz! -Zakaj?
 Ker je plezanje tja dol v temi korak od samomora. -Dobro.; Dajmo še enkrat! -Dobro.; Ne poznaš me. -Oh, seveda te.; Ne, ne poznaš me. -Oh, seveda te.
 Mogoče bo bolje, da tokrat ne greš zraven.; Bojim se, da to ne bo mogoče.; S tem se moraš sprijazniti.; To moraš narediti. Druge izbire nimaš.
 Ti si me zvlekel v to, šef. In sedaj sva ujeta na tem otoku.; Ti si me zvlekel v to, šef. In zdaj sva zajeta tukaj...; To je otok, šef. Vedno naju bodo našli.; Poslušaj mojo teorijo, Andrew. Enkrat smo že prebili zid, pred devetimi meseci, nato si se vrnil v prejšnje stanje.
 Samo drug na drugega se lahko zaneseva.; Bistvo je, da bodo to rekli zate.; To je tisto, kar smo.; S tem se moraš sprijazniti.
 Sedaj pa se vedeš kot ... -Kako? Kako? Kako se vedem?; Zdaj pa se vedeš kot... -Kot kaj? Kot kaj? Kako se vedem?; Kaj se je pa zgodilo s tabo? -Kako to misliš?; Tebe. -Lahko prenehate s tem, prosim?!
 Kaj, za vraga, se je zgodilo v tistih celicah, Ted?; Kaj za vraga se je zgodilo tam pri tistih celicah, Ted?; Ta bolničarka... mogoče je imela otroke, kaj?; Ali ne veš, kako osamljena sem bila, Jim?
 Kakšno misliš, da je vreme v Portlandu, Chuck?; Kaj misliš, kakšno vreme je v Portlandu, Chuck?; Si bil kdaj sam, odkar si prišel sem?; Kaj nama lahko poveš o Rachel?
 Iz Seattla sem.; Jaz sem iz Seattla.; Prihajam iz oddelka v Seattlu.; Pravijo, da bom ostal tukaj za vedno.
 Iz Seattla?; Imata Billingsa?; Tukaj?; Iz Seattla.
 Naprej grem. Sam.; Ne bo me tukaj. Selim se podnevi. Vsako noč na drugem mestu.; Naprej grem... sam.; Da, seveda. Jaz...
 S tabo grem, šef. -Rekel sem, da grem sam.; S tabo grem, šef. -Rekel sem sam Prav.; Lahko... lahko dobim kozarec vode, prosim? -Ni problema.; To je pomembno. -Žal mi je, šef.
 Prav.; V redu je.; No, to tudi.; Seveda. Ja.
 Prekleto!; Prekleto!; Prekleto!; Prekleto!
 Prekleto!; Prekleto!; Prekleto!; Prekleto!
 Vedel sem, da ne bo trajalo dolgo, a zaradi plime nisem mogel priti tja.; Poskušal sem, hotel sem, ampak preden sem prišel tja, je bilo prepozno.; Po skupinski terapiji sem jo pripeljal nazaj sem in jo zaklenil.; Vedel sem, da bom hiter. Ampak nisem mogel do njega. Plima je previsoka.
 Chuck!; Chuck!; Chuck!; Chuck!
 Chuck!; Chuck!; Chuck!; Chuck!
 Daj že!; Oh, jebi ga!; Saj si doma!; Daj!
 Chuck! Kje si, Chuck!; Kje si, Chuck?; Kdo za vraga si ti?!; Ja? Kaj to, šef?
 Chuck!; Chuck!; Chuck!; Chuck!
 Chuck!; Chuck!; Chuck!; Chuck!
 Kdo ste?; Kje ste bili?; Kdo sta ta dva moška?; Kdo si ti?
 Teddy Daniels. Policist sem.; Simon...; George...; Dr. Solando...
