sentence1;setnence1;setnence2;setnence3
 Morda res nisem bil dober s konji, ampak za to sem bil rojen.; Konji mi ne ležijo preveč, za to pa sem rojen.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Ne potrebujem trota, ki rad strelja.
 Jaz naredim takole, ti pa tako.; Potem me pa nauči videti.; Lahko ji ukažeš, kaj naj dela.; Tako se to dela.
 Obrnem se in občutim veter, močno se obrnem.; Molči in leti naravnost.; Slišim jih.; Verjetno se pogovarjam z drevesom.
 Vidim, tako težko se obračam.; Jake? Hvala. Raznežil sem se.; V redu. Žal mi je.; Pomiri se. Živčno me delaš.
 Drevo duš.; Drevo glasov.; Maske gor.; Stran.
 To je njihov najsvetejši kraj.; Tu je kraj, kjer so molitve slišane.; Na'vi to vedo, zato ga branijo.; Njihov najsvetejši kraj.
 Vidiš energetski vrtinec in te lažne barvne podobe?; Ni to namen tvojih lutk?; Vidiš Vrtinec na teh pobarvanih slikah?; Si se izgubil v gozdu?
 To moti moje naprave.; To moti moje instrumente.; Tako se to dela.; Ti butci ne dojamejo sporočila.
 Tam spodaj se dogaja nekaj biološko izjemno zanimivega.; Tam se dogaja nekaj biološko zelo zanimivega.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.; Kamorkoli tu vržeš palico, pade na kakšno sveto praprot, za božjo voljo! –Ne gre za kakšen poganski vudu. Gre za nekaj resničnega, izmerljivega v gozdu.
 Umrla bi za kak vzorec.; Zlahka bi ga ubil.; Vse bi dala za nekaj vzorcev.; Kar mravljince dobim.
 Za prišleke je dostop strogo prepovedan.; Zunaj se domorodske horde zbirajo za napad.; Ljudstvo pravi, da bo Eywa pomagala.; V enem tednu jih je lahko 20.000.
 Res imaš srečo.; Močno srce imaš.; Dobro, to še znaš.; Kot otroček si.
 Bil sem ledeno hladen zračni lovec.; Marinec sem bil.; Bil sem svoboden.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 Smrt z višine.; Jezdec zadnje sence.; Neusmiljen zračni lovec sem bil. Smrt od zgoraj.; Demon v lažnem telesu.
 Edini problem je, da nisem edini.; Edina težava je, da nisi edini.; Sploh mi ni treba braniti.; To je dejstvo.
 Dol!; Dol!; Stran!; Seze!
 Za menoj!; Za mano!; Brat, prebil se bom. Za mano!; To je on. Za njim!
 Imenujemo ga veliki leonopteryx.; Naši mu rečejo veliki leonopteriks.; To so ušivi divjaki, ki živijo v drevesu.; Tako se prežene ščurke.
 To je Toruk, zadnja senca.; To je toruk. Zadnja senca.; Ti demoni ne smejo sem.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Seveda, saj je zadnja, kar jih kdaj vidiš.; Obožujem to palico. Obožujem to palico.; Potem me pa nauči videti.; Samo hvala bi ti rekel, ker si jih pobila.
 Ded mojega deda je bil Toruk Makto.; Moj prapraded je bil toruk macto.; Neytiri mi reče skxawng, kar pomeni bebec.; Ja, Tommy je bil znanstvenik.
 Jezdec zadnje sence.; Jezdec zadnje sence.; To je toruk. Zadnja senca.; Demon v lažnem telesu.
 Na tem je jahal?; To je jezdil?; V gorovju Aleluja?; Je to mogoče?
 Toruk ga je izbral.; Toruk ga je izbral.; Toruk macto je bil mogočen.; Sprva sem samo ubogal ukaz.
 To se je zgodilo samo petkrat vse od časov prvih pesmi.; V času od Prve pesmi se je zgodilo samo petkrat.; Na'vi pravijo, da se človek rodi dvakrat.; V enem tednu jih je lahko 20.000.
 To je dolgo nazaj. -Ja.; Neverjetno, kaj? –Ja.; Si v redu? –Ja.; Norm, si v redu? –Ja.
 Toruk Makto je bil mogočen.; Toruk macto je bil mogočen.; Jake, Eywa te je slišala.; Toruk ga je izbral.
 Združil je klane v času velikega žalovanja.; V času velike žalosti je združil klane.; To je prvi bojevnik sanjehodcev, ki ga vidimo.; Zunaj se domorodske horde zbirajo za napad.
 Ves Na'vi narod pozna to zgodbo.; Vsi Na'vi poznajo to zgodbo.; Na'vi to vedo, zato ga branijo.; Če pridejo do Drevesa duš, je konec.
 Zdaj vse izgleda obrnjeno.; Nato pa se je vse spremenilo.; Ne zdi se kot šest let.; Težko je verjeti, da so minili samo trije meseci.
 Kot da bi bil tam zunaj resničen svet, to tukaj pa samo sanje.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.; Opominja me na to, kaj je tam zunaj.; Če pridejo do Drevesa duš, je konec.
 Ne morem verjeti, da so minili samo še trije meseci.; Težko je verjeti, da so minili samo trije meseci.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.; Žal mi je. Počakati bo moral to jutra.
 Sploh se ne spomnim več vsega iz svojega življenja.; Starega življenja se skoraj ne spomnim več.; Ne vem več, kdo sem.; Karkoli sem že naredil, mi je žal.
 Ne vem več, kdo sploh sem.; Ne vem več, kdo sem.; Ne boste verjeli, kje sem.; Omaticaya sem. Eden od vas sem.
 Saj se nisi izgubil v gozdovih, ali ne?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?; Si se izgubil v gozdu?
 Tvoje zadnje poročilo je bilo pred več kot dvema tednoma.; Videl sem tvojo kartoteko.; Že več kot dva tedna nisi poročal.; Težko je verjeti, da so minili samo trije meseci.
 Začel sem že dvomiti, da si dal odpoved.; Začel sem dvomiti o tvoji odločnosti.; Upal sem, da boš to rekel.; Razočaral si me.
 Čas je, da končamo nalogo. -Tega ne morem narediti.; Zakaj jaz? To ni pošteno.; Mislim, da je čas, da opravimo nalogo.; Ne bo mi uspelo.
 Saj si že.; Saj ti je že.; Dobro, to še znaš.; Saj ne misliš resno.
 Dal si mi dobre in uporabne podatke.; Dal si mi uporabne podatke.; Videl sem tvojo kartoteko.; Tvojo pomoč rabim.
 Ta kraj z drevesom duš.; V drevesu so družine, otroci.; Tam ni zelenja.; Samo drevesa so!
 S tem jih bom držal v šahu, ko se bo začel boj, in do tega bo gotovo prišlo.; Če to storim, bom eden od njih.; Mislim, da je čas, da opravimo nalogo.; Opravil bom s čim manj žrtvami med domorodci.
 Zdaj je čas, da se vrneš.; Zdaj pa je čas, da se vrneš.; Pogumen si, da si prišel sem.; Toda prej ali slej se moraš zbuditi.
 Mimogrede, noge boš dobil nazaj.; Mimogrede, noge boš dobil nazaj.; Če se boš izkazal, ti bom priskrbel noge.; To je zdaj tvoj avatar, Jake.
 Ja. Imam potrditev podjetja.; Dobil sem odobritev. Dogovorjeno je.; Seveda.; Lahko se bom dogovoril o selitvi.
 Dogovor je sklenjen, nocoj si lahko že na shuttlu.; Zdaj pa je čas, da se vrneš.; Biometrika je v redu. –Link 3 je pripravljen.; Bravo 11, nekaj velikega na zaslonih.
 Vedno držim svojo besedo.; Jaz poskrbim za svoje ljudi.; Dokler diham, ni konec.; Sploh mi ni treba braniti.
 Končati moram s tem.; To moram končati.; Zdaj pa moram iti.; Ne bo mi uspelo.
 Ostala je samo še ena stvar.; Še nekaj je.; Samo še ena peklenska luknja.; Ampak to je bila le teorija.
 Ceremonija.; Maske gor.; Pravila Pandore.; Počasi.
 To je zadnja stvar, da postaneš mož.; Ampak tudi ta ženska mora izbrati mene.; Zdaj pa je čas, da se vrneš.; Lahko ji ukažeš, kaj naj dela.
 Če jo opravim bom eden izmed njih.; Če to storim, bom eden od njih.; Jaz poskrbim za svoje ljudi.; Preučevali me bodo. Postal bom eden od njih.
 Zaupali mi bodo.; In zaupali mi bodo.; Tja bomo šli.; Preučevali me bodo. Postal bom eden od njih.
 Lahko se bom pogajal o pogojih za njihovo premestitev.; Lahko se bom dogovoril o selitvi.; Če to storim, bom eden od njih.; Opravil bom s čim manj žrtvami med domorodci.
 Potem pa to tudi opravi, desetar.; Potem me pa nauči videti.; Kar mravljince dobim.; Tako se to dela.
 Na'vi pravijo, da se vsak rodi dvakrat.; Na'vi pravijo, da se človek rodi dvakrat.; Na'vi to vedo, zato ga branijo.; Vsi Na'vi poznajo to zgodbo.
 Drugič je, ko si zaslužiš svoj prostor med ljudmi, za vedno.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."; Ljudstvo ti lahko pomaga.
 Zdaj si sin Omaticaye.; Zdaj si sin Omaticaye.; Zdaj si Omaticaya.; To je zdaj tvoj avatar, Jake.
 Si del Naroda.; Nočem Ninat.; Noter grem.; Mater vola.
 Pridi.; Pridi.; Pridi.; Ja. Pridi sem.
 Pridi.; Pridi.; Pridi.; Ja. Pridi sem.
 Tukaj je kraj, kjer se poslušajo molitve.; Tu je kraj, kjer so molitve slišane.; Tu je deset na dvanajsto dreves.; Ti demoni ne smejo sem.
 In včasih so tudi uslišane.; In včasih uslišane.; Tu je kraj, kjer so molitve slišane.; In plačilo je dobro.
 To drevo imenujemo drevo glasov.; Tem drevesom rečemo Utraya Mokri.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.; V drevesu so družine, otroci.
 Glasov naših prednikov.; Glasov naših prednikov.; Semena svetega drevesa.; Začuti njen utrip. Njeno dihanje.
 Lahko jih slišim.; Slišim jih.; Veliko dreves vidim. Lahko se preselijo.; Verjetno se pogovarjam z drevesom.
 Živi so, Jake.; Mater, so veliki.; Živijo, Jake, v Eywi.; Mirno, ljudje.
 V Eywi.; Prima.; Jake.; Oo-rah.
 Zdaj si Omaticaya.; Zdaj si Omaticaya.; Zdaj si sin Omaticaye.; Kot otroček si.
 Svoj lok lahko narediš iz lesa domovinskega drevesa.; Lahko si narediš lok iz lesa Domačega drevesa.; Tu se povežemo z avatarjem.; Puščice namakajo v strup, ki ti v minuti ustavi srce.
 Lahko si tudi izbereš ženo.; In lahko si izbereš žensko.; Lahko ji ukažeš, kaj naj dela.; To ti najbrž ne bo težko.
 Veliko dobrih žensk imamo.; Veliko dobrih žensk imamo.; To je pomembno.; Nič takega nimamo, kar bi jih mikalo.
 Nenat je najboljša pevka.; Ninat je najboljša pevka.; Všeč mi je.; Zenični refleks je dober.
 Nočem Nenat.; Nočem Ninat.; Ikran ni konj.; Noter grem.
 Paral je dobra lovka.; Peyral je dobra lovka.; Distalna motorika je dobra.; Res je dobra lovka.
 Ja, res je dobra lovka.; Res je dobra lovka.; Saj ti je že.; V redu je.
 Sem že izbral.; Sem že izbral.; Lahko se bom dogovoril o selitvi.; Moram poskusiti.
 Ampak ta ženska mora tudi izbrati mene.; Ampak tudi ta ženska mora izbrati mene.; To moram končati.; Če ne bi prišla, bi bilo po meni.
 Saj te je že.; Saj ti je že.; Te je že.; Veš, da se bom.
 Zdaj sem s teboj, Jake.; Zdaj sem s tabo, Jake.; Bala sem se, Jake.; Poglej, kje sva, Grace.
 Poročena sva za vse življenje.; Združena sva za vse življenje.; Grace, uživam v najinih pogovorih.; Zaljubil sem se.
 Kaj za vraga delaš, Jake?; Kaj za vraga delaš, Jake!; Kaj delaš, Tsu'tey?; Jake, me slišiš?
 Ne pozabi na fazno integracija, srednji gumb.; Ne pozabi fazne integracije.; Uporabi, kar imaš, in pokaži rezultate.; Naveži stik.
 Jake, nekaj moraš pojesti.; Poslušaj. Eno uro časa imaš.; Vem, da ti lahko.; Wainfleet, končaj že.
 Jake!; Jake!; Jake!; Jakesully!
 Zbudi se, prosim!; Zbudi se, prosim!; Počakajte, prosim!; Poberi se!
 Ne prisili me, da bom na silo hranila invalida.; Ne stori ničesar izjemno neumnega.; Sedi, za tvojo varnost gre.; Naj se ne vtika v moj oddelek.
 Tako, končal sem, gremo.; V redu, grem.; Sem že. Pojdimo.; Zdaj pa moram iti.
 Kdaj si se zadnjič stuširal?; Kdaj si se nazadnje oprhal?; Koliko ur si opravil?; Kaj delaš?
 Ne potrebujem tuširanja. -Jezus, marinec.; Ni se mi treba. –Jezus.; Wainfleet, končaj že.; Dajmo, ljudje. –Uf.
 Jake!; Jake!; Jake!; Jakesully!
 Zbudi se!; Poberi se!; Ne napadaj!; Pridi!
 Stoj!; Stoj!; Stoj!; Stoj!
 Hej, šef.; Hej, vidva.; Hej.; Pazi, vozičkar.
 Kaj? -Tukaj imam domorodca, ki oponaša zmešano kuro.; Kaj je? –Neki domorodec pleše in se mi nastavlja.; Norm, si v redu? –Ja, še sem tu.; Daj no, to je … –Nehajta.
 Na poti mi je.; Pri njej sem, Jake.; Poln nos njegovega vonja imam.; Slišim te.
 Kar naprej, se bo že umaknil.; Ta tujec se ne bo ničesar naučil.; Ta butec bo umrl.; Ne bo preživel.
 Naučiti se morajo, da se mi ne ustavljamo.; Prisiliti jih moramo k sodelovanju ali uničiti.; Da moramo videti, kje letimo.; Torej ga moramo ustaviti.
 Dajmo. Gremo, gremo.; Gremo, gremo!; Gremo, gremo!; Gremo, gremo!
 Vidiš, umaknil se je.; Jake, Eywa te je slišala.; Bala sem se, Jake.; Tako. Umaknil se je.
 Nič ne vidim!; Žal mi je. Ne, ne!; To! Obvladam!; Ne! Bežite, prekleto!
 Jake! -Neytiri!; Jake! –Neytiri!; Neytiri!; Neytiri!
 Pridi!; Pridi!; Pridi!; Pridi.
 Zamrzni, zdaj.; Pojdi nazaj.; Ne boj se, bojevnik.; Sedi, za tvojo varnost gre.
 Povečaj in izostri.; Ne pozabi fazne integracije.; Uporabi, kar imaš, in pokaži rezultate.; Pripravi se, 30 sekund.
 Pasji sin.; Čakaj.; Šef.; Mojbog.
 Neverjetno.; Neverjetno.; Prekleto.; Sranje.
 Pokličite mi pilota. -Ja, gospod.; Ste videli to? –Da, gospod.; Pokliči pilota. –Takoj.; Zveni dobro, gospod.
 Tsu'Tey bo vodil naše bojevnike.; Na'vi to vedo, zato ga branijo.; Tsu'tey bo vodil bojno odpravo.; Proti bojnim ladjam se bomo borili z loki in puščicami.
 Prosim, nehajte!; Počakajte, prosim!; Razstrelite jo!; Ne! Bežite, prekleto!
 Vse skupaj boste samo še poslabšali.; Lačni in šibki boste.; Tega nočete imeti na vesti, verjemite.; Strelci, glejte na vse strani.
 Tukaj nimaš pravice govoriti!; Tu nimaš pravice govoriti.; Saj to ni res!; Po mojem si ti izdajalci ne zaslužijo zrezka.
 Udarili jih bomo naravnost v srce!; Udarili jih bomo v srce.; Odklopili se bodo!; Razstrelite jo!
 Tsu'Tey! Ne delaj tega!; Tsu'tey! Brat, me slišiš?; Umakni se! –Umakni se!; Maska! –Sproži alarm!
 Ti! -Poslušaj, brat...; Poslušaj me. Jake!; Eywa te je slišala!; Zbudi se! Jake, zbudi se!
 Spala si z zemljanom! -Sranje.; Si se združil s to žensko? –Sranje.; Saj to ni res!; Človek, ne!
 Je to res?; Je to res?; Je to mogoče?; Kakšna logika je to?
 Poročila sva se pred Eywo, končano je.; Zaljubil sem se.; Navsezadnje je moj rojstni dan.; Zdaj pa je čas, da se vrneš.
 Brat, prosim, ne napadajte ljudi iz nebes.; Zbudi se, prosim!; Hej, vidva.; Nimaš samo ti orožja, prasica.
 Veliko omaticayev bo umrlo, če to naredite. -Ti nisi moj brat!; Norm, ne hodi ven! –Nisi še pripravljen!; Ni najbolj pametno. –To je brez veze!; Ne, tega ne smete! –Tega ne smete!
 Pa tudi tvoj sovražnik nisem!; Nisem tvoj sovražnik.; Brez tebe mi ne bo uspelo.; Nikoli ne boš eden od nas!
 Sovražniki so tam zunaj! In zelo močni so!; Samo drevesa so!; Ne! Bežite, prekleto!; Sovražnik je tam zunaj in zelo močan je.
 Lahko govorim z njimi. -Konec je s pogovori!; Norm, ne hodi ven! –Nisi še pripravljen!; Ne, tega ne smete! –Tega ne smete!; Lahko bi te. –Obrzdaj svojega psa.
 Omaticaya sem, sem eden izmed vas.; Omaticaya sem. Eden od vas sem.; Dovolite mi, da jih prepričam.; Na Pandori ste, gospe in gospodje.
 Pravico imam govoriti.; In pravico imam govoriti.; Tu nimaš pravice govoriti.; Sploh mi ni treba braniti.
 In nekaj vam moram povedati, vam vsem.; Nekaj bi rad povedal vsem vam.; Navsezadnje je moj rojstni dan.; In zaupali mi bodo.
 Zaradi tega, kar moram povedati mi bo okamenelo srce.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.; To mi bo pokvarilo dan.; Karkoli sem že naredil, mi je žal.
 Gospod, oprostite.; Hej, vidva.; Oprostite.; Izvoli.
 Ne smete pretrgati vzpostavljene povezave.; Pozor! Upravljavci se odklapljajo od linkov.; Ko se rampa spusti, pojdite naravnost v bazo.; Zavarovali se bomo s preventivnim napadom.
 To je zelo nevarno!; Zelo nevarno je.; Saj to ni res!; Zelo težko jih je ubiti.
 Čakajte! -Umirite se, gospod.; Pomirite se! –Ne, prosim.; Počakajte! –Umaknite se.; Dr. Augustine, ne smete sem. –Umakni se!
 Sem so me poslali...; Sem so me poslali … Vidite?; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Lahko bi me zakrpali, če bi šel nazaj.
 Ste zdaj videli?; Smo že tam?; Je uspelo?; Pa zdaj?
 To je samo še en tujec v lažnem telesu!; Saj to ni res!; Ta tujec se ne bo ničesar naučil.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 Se vam je čisto zmešalo? -Ti si prestopil mejo.; Hej, Sully, kako je, če izdaš lastno raso?; Zdaj si sin Omaticaye.; Sem so me poslali … Vidite?
 Odpeljite ta kos mesa proč.; Razstrelite jo!; Izpeljite to ostro in odločno, da bom do večerje doma.; Tiho, prosim! Ugasnite luči.
 Jake! Kaj za vraga se dogaja?; Jake! Kaj se dogaja?; Kaj za vraga delaš, Jake!; Ne! Bežite, prekleto!
 Sinko, izdal si me.; Razočaral si me.; Slišim te.; Pomiri se. Živčno me delaš.
 Pa kaj!; Kaj pa si?; Pa zdaj?; Saj to ni res!
 Našel si domačinko in pozabil, za katero ekipo igraš?; Kako torej, si našel domačinko in pozabil, za katero ekipo igraš?; Ni to namen tvojih lutk?; Si se izgubil v gozdu?
 Parker, še je čas, da rešimo položaj...; Ampak to se ne bo zgodilo.; Wainfleet, končaj že.; Še lahko rešimo položaj.
 Zapri gobec!; Pripelji ga nazaj!; Spravi ga k rampi!; Nikoli se ne vrni!
 Ali pa kaj, vojak Rick?; Kaj za vraga delaš, Jake!; Človek, ne!; Wainfleet, končaj že.
 Me boš ustrelil? -Ja, to bi šlo.; Norm, si v redu? –Ja.; Bi lahko … –Ja.; Neverjetno, kaj? –Ja.
 Obrzdaj svojega psička.; Pripelji ga nazaj!; Naveži stik.; Nadaljuj, umaknil se bo.
 Lahko to, prosim, rešimo kot odrasli?; Naj torej plešem z njim?; Kako bodo vedeli, da smo tu?; Kako je pa s tem? Naj tečem ali ne?
 Praviš, da bi rad obdržal svoje ljudi žive?; Ni to namen tvojih lutk?; Bi radi ohranili svoje ljudi žive?; Vidiš Vrtinec na teh pobarvanih slikah?
 Začni tako, da jo poslušaš.; Naveži stik.; Lahko ji ukažeš, kaj naj dela.; Nadaljuj, umaknil se bo.
 Ta drevesa so bila za Omaticaye sveta, na način, ki si ga ne moreš predstavljati.; Tista drevesa so bila za Omaticaye sveta.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.
 Če tukaj vržeš v zrak palico bo gotovo pristala na kašnem svetem listu.; Tu je deset na dvanajsto dreves.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.; Ti demoni ne smejo sem.
 Ne govorim o nekem poganskem vuduju.; Za to ne rečeš hvala.; Ne bi smel biti tu.; To plačuje tvojo znanost.
 Govorim o resnični stvari, o nečem, kar je mogoče izmeriti v biologiji gozda.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.; Tam se dogaja nekaj biološko zelo zanimivega.; Kamorkoli tu vržeš palico, pade na kakšno sveto praprot, za božjo voljo! –Ne gre za kakšen poganski vudu. Gre za nekaj resničnega, izmerljivega v gozdu.
 In kaj natančno je to?; In kaj je to?; Kaj … Kaj je to?; Kaj to pomeni?
 Zaenkrat za gotovo vemo, da obstaja neke vrste elektro-kemična komunikacija med koreninami dreves.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.; Tam se dogaja nekaj biološko zelo zanimivega.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Tak kot sinapse ned nevroni.; To je več povezav kot v človeških možganih.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Vsako drevo ima deset do štirideset povezav do okoliških dreves.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.; To je več povezav kot v človeških možganih.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.
 Na Pandori je deset na dvanajsto potenco dreves.; Tu je deset na dvanajsto dreves.; Tem drevesom rečemo Utraya Mokri.; V drevesu so družine, otroci.
 Domnevam, da je to veliko?; Je to res?; Kar je verjetno veliko.; Je to mogoče?
 To je več povezav kot v človeških možganih.; To je več povezav kot v človeških možganih.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.; Mislim, da nekakšna elektrokemična komunikacija med koreninami dreves, kot sinapse med nevroni.
 Razumeš? To je omrežje.; To je dejstvo.; Kdo je nevaren? Tako je.; Zakaj jaz? To ni pošteno.
 To je globalno omrežje in Na'vi imajo dostop do njega.; Globalna mreža. In Na'vi se lahko povežejo z njo.; Na'vi to vedo, zato ga branijo.; Sovražnik je tam zunaj in zelo močan je.
 Podatke lahko nanj nalagajo in sprejemajo.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.; Lahko prenašajo podatke, spomine.; V enem tednu jih je lahko 20.000.
 Spomine, na mestih kot je bilo to, ki ste ga uničili.; Na krajih, kakšnega ste uničili.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.; Eno življenje se konča, drugo začne.
 Kaj za vraga ste vi ljudje tam zunaj kadili?; Kaj ste pa kadili tam zunaj?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?; Kaj ti je šlo po glavi?
 To je samo prekleto drevje.; Ti demoni ne smejo sem.; Če pridejo do Drevesa duš, je konec.; Ampak to je bila le teorija.
 Čas je, da se zbudiš, Parker. -Ne, vi se morate zbuditi.; Pomirite se! –Ne, prosim.; Ste videli to? –Da, gospod.; Ta kraj bodo uničili. –Neytiri, morate oditi.
 Bogastvo tega sveta ni v zemlji, pač pa vsepovsod okrog nas.; Bogastvo tega sveta ni v tleh, ampak vse okrog nas.; Ljudje z neba se ne morejo naučiti, ker ne vidijo.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Na'vi se tega zavedajo in borili se bodo, da to obranijo.; Na'vi to vedo, zato ga branijo.; Toda treba je iti tja, kjer so furije.; Vsi v tem oporišču se borimo za preživetje.
 Če hočete ta svet deliti z njimi jih morate razumeti.; Če hočete deliti ta svet z njimi, jih morate razumeti.; Bolje ga moramo spoznati.; Ljudje z neba se ne morejo naučiti, ker ne vidijo.
 Mislim, da jih zahvaljujoč Jaku dovolj dobro razumemo.; Mislim, da je čas, da opravimo nalogo.; Nič takega nimamo, kar bi jih mikalo.; Nisem več pri marincih, ampak nastrojenost ostane.
 Doktorica, pridite in poglejte.; Dovolite mi, da jih prepričam.; Za začetek jo poslušajte.; Wainfleet, končaj že.
 Nikoli se ne bodo odrekli domu.; Ne bodo se odpovedali svojemu domu.; Nikoli ne bodo zapustili Domačega drevesa.; Prišli bodo kot dež, ki ga ni nikoli konec.
 Ne bodo sklepali kupčij.; Ne bodo se odpovedali svojemu domu.; Ne bodo se pogodili.; Zanašati se bodo morali na vid.
 Za kaj, za brezalkoholno pivo?; Za kaj? Za pivo?; Kaj ste pa kadili tam zunaj?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?
 In kavbojke?; In kavbojke?; Legendarne plavajoče gore. Si slišal zanje?; Za kaj? Za pivo?
 Nimamo ničesar, kar bi oni hoteli.; Nič takega nimamo, kar bi jih mikalo.; Ker nismo edini, ki letijo tam okrog.; Hoteli smo jim dati zdravila, izobrazbo, ceste … Ampak ne. Raje imajo blato.
 Vse, za kar so me poslali sem, je bila izguba časa.; Potreboval sem njihovo pomoč, oni pa mojo.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Če sem jim hotel še kdaj stopiti pred oči, sem moral storiti nekaj velikega.
 Nikoli ne bodo zapustili domovinskega drevesa.; Nikoli ne bodo zapustili Domačega drevesa.; Ne bodo se odpovedali svojemu domu.; Udarili jih bomo v srce.
 Ker pogodba ni mogoča postanejo zadeve res enostavne, Jake.; Tako se to dela.; Kar je verjetno veliko.; Ti butci ne dojamejo sporočila.
 Hvala.; Hvala.; Oprostite.; Dobrodošel.
 Čisto sem se raznežil, skoraj bi te poljubil.; Upal sem, da boš to rekel.; Samo hvala bi ti rekel, ker si jih pobila.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Opravil bom z kar najmanj žrtvami med domačini.; Opravil bom s čim manj žrtvami med domorodci.; Če to storim, bom eden od njih.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Najprej jih bom izgnal s plinom.; Najprej jih bom pregnal s plinom.; Lahko bi me zakrpali, če bi šel nazaj.; Vzorce moram vzeti.
 To bo človeško.; Ampak to se ne bo zgodilo.; Tja bomo šli.; To je pomembno.
 Bolj ali manj.; Bolj ali manj.; Enkratno.; Ali največji.
 Prav, pritisnimo sprožilec.; V redu, začnimo.; Poskusimo še enkrat.; Tiho, prosim! Ugasnite luči.
 Tako to poteka.; Tako se to dela.; To je dejstvo.; To je pomembno.
 Ko ljudje sedijo na tem, kar hočeš imeti, jih narediš za sovražnike, tako opravičiš to, kar si prisvojiš.; Če nekdo sedi na nečem, kar hočeš, ga narediš za sovražnika. In potem mu imaš pravico tisto vzeti.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.; Če jo izgubiš, si v 20 sekundah nezavesten, v štirih minutah mrtev.
 Quatrich se spravlja v bojna letala.; Zunaj se domorodske horde zbirajo za napad.; Glavni napreduje proti tarči.; Vsi spremljevalci so uničeni ali se umikajo.
 Napadel bo domovinsko drevo. -Moj bog.; Ni se mi treba. –Jezus.; Naša Velika mati ne izbira strani, Jake.; Poslušaj me. Jake!
 Dr. Augustine, ne smete sem!; Kaj za vraga delaš, Jake!; Dr. Augustine, ne smete sem. –Umakni se!; Tiho, prosim! Ugasnite luči.
 Umakni se!; Poberi se!; Ne napadaj!; Prebudi se.
 Parker! Čakaj, ustavi.; Pojdi nazaj.; Gremo, gremo! Ven. Brez ustavljanja! Ne ustavljajte se.; Gremo, posebni primer. Ne bom te čakal.
 To so ljudje, ki jih nameravaš...; Če dovoliš, bi rad nekaj povedal.; Ampak če si tu, bi te rad opozoril.; Ampak tudi ta ženska mora izbrati mene.
 To so navadni divjaki, ki živijo na drevesu.; To so ušivi divjaki, ki živijo v drevesu.; Sovražnik je tam zunaj in zelo močan je.; Zelo težko jih je ubiti.
 Poglejte naokrog.; Poglej okrog sebe.; Na desno! Obrnite.; Glejte, kaj je zgoraj. In opazujte termalne naprave.
 Ne vem, kaj je z vami, ampak jaz vidim veliko dreves.; Tu je deset na dvanajsto dreves.; Verjetno se pogovarjam z drevesom.; Veliko dreves vidim. Lahko se preselijo.
 Lahko se preselijo.; Veliko dreves vidim. Lahko se preselijo.; V enem tednu jih je lahko 20.000.; Tujci ne smejo tja.
 Bi se lahko vidva... -Tam so družine.; Zelo blizu so. Veliko jih je.; Mater, so veliki.; Tamle je. Se vidiva pri hangarjih.
