 Ne prav veliko. Drži se zase. Verjame, da so njeni otroci živi.; Smehljala se mi je. Tako prijazna je bila.
 Misli, da še vedno živi v Berkshiru in da smo mi njeni sosedje, mlekarji, poštarji ... -Dostavljavci.; Mislila je, da še vedno živi v Berkshireu in da smo mi vsi njeni sosedje, mlekar, poštar... -Dostavljavec.
 Je bil dr. Sheehan tistega večera prisoten? -Ja.; Je bil dr. Sheehan tam to noč? -Da, hm...
 Govoril je o jezi.; Govoril je o besu.
 Povejte mi kaj o njem. Kakšen je?; Povejte mi kaj o njem... kakšen je?
 On je ...; To je Noyce, rekli ste, da mu je tako ime. On je...
 Vas je kdaj osvajal?; Boste razložili uradu Zvezne policije, da je on obrambni mehanizem?
 Ne. Ne, dr. Sheehan je dober zdravnik. Nikoli ne bi ...; Ne, dr. Sheehan je dober zdravnik, on nebi nikdar...
 Lahko dobim kozarec vode, prosim? -Seveda.; Lahko... lahko dobim kozarec vode, prosim? -Ni problema.
 Ste kdaj spoznali pacienta po imenu Andrew Laeddis?; Mogoče poznate pacienta po imenu Andrew Laeddis?
 Nikoli še nisem slišala zanj.; Nikdar nisem slišala zanj.
 Bila je naučena. Uporabila je iste besede kot Cawley in bolničarka.; Uporabila je praktično iste besede kot Cawley in medicinska sestra.
 Kot bi ji nekdo rekel, kaj naj pove. -Kdo je Andrew Laeddis?; Kot da ji je bilo naročeno točno, kaj naj pove. -Kdo je Andrew Laeddis?
 Vse paciente si vprašal po njem. Kdo je on?; Vse paciente si spraševal po njem. Kdo je on?
 Šele spoznala sva se, Chuck. Že dolgo si v tem poslu.; Šele spoznala sva se, Chuck. Že kar nekaj časa si v tem poslu.
 Dolžnosti imaš, kariero. Kar jaz počnem, ni ravno po pravilih.; Imaš svoje obveznosti, kariero. To kar jaz delam, ni ravno po predpisih.
 Ko smo dobili ta primer, sem ga posebej zahteval, razumeš? -Zakaj?; Takoj mi pokaži svoj prekleti obraz! -Zakaj?
 Andrew Laeddis je bil vzdrževalec v stavbi, v kateri sva živela z ženo.; Andrew Laeddis... je bil vzdrževalec v stanovanjskem bloku, kjer sva živela z ženo.
 Prav tako je bil požigalec.; Bil pa je tudi piroman.
 Andrew Laeddis je prižgal vžigalico, ki je povzročila požar, zaradi katerega je umrla moja žena.; Andrew Laeddis... je bil vzdrževalec v stanovanjskem bloku, kjer sva živela z ženo.
 Spustite ju ven!; Spustite jih ven!
 Kaj se je zgodilo z Laeddisom? -Izmazal se je.; Kaj ste naredili z mojo prekleto pištolo? -To je igrača, Andrew.
 Laeddis jo je odnesel brez kazni in nato izginil.; Izvlekel se je. Laeddis se je izvlekel in nato izginil.
 Pred letom dni sem odprl časopis in tam je bil. Ta grdi pesjan.; Pred približno letom dni sem odprl časopis in ga zagledal.
 Velika brazgotina od desnega senca do levega kotička ustnic.; Ogromna brazgotina od desne sence proti ustnici na levi strani.
 Očesi različnih barv. Takega obraza ne pozabiš.;" Oči druge barve. Takega ""frisa"" ne pozabiš."
 Požgal je šolsko poslopje. Ubil je dva človeka.; Šolo je požgal. Ubil dve osebi. Rekel je, da so mu to naročili glasovi.
 Rekel je, da so mu glasovi tako naročili.; Hotela je, da potegnem ven svojega tiča, da bi se mu lahko smejala.
 Poslali so ga v zapor, nato pa ga premestili sem. -In potem? -Nič.; Kaj pa potem? -Potem pa nič.
 Izginil je, kot da nikdar ne bi obstajal. Nobenih dokumentov ni.; Izginil je, kot da nebi nikdar obstajal. Nikakršnega poročila ni o tem.
 Prepričan sem, da ni na oddelku B, ostane oddelek C. -Lahko je mrtev.; On ni na temu oddelku.
 Prav tako Rachel Solando, če smo že pri tem.; Če smo že pri tem.
 Tu je veliko krajev, kamor lahko skriješ truplo.; Tudi Rachel Solando bi bila lahko. Tukaj je ogromno možnosti za skriti truplo.
 Samo en kraj je, kjer ga nihče ne bi opazil.; Samo eno mesto obstaja, kamor bi ga odpeljali.
 Ko me je poslala po vodo, vam je nekaj rekla, kajne? -Ne.; Tista pacientka, Bridget Kearne, ko me je poslala po vodo ti je nekaj rekla, drži? -Ne.
 BEŽI Šef! Morava nazaj noter. Tu postaja kot v jebenem Kansasu.; Skriti se morava, tole tukaj se spreminja v jebeni Kansas.
 Dobro. Pojdiva!; Dobro. Zdaj pa premaknita svoje riti. Gremo.
 Si dobro, šef? -Ja, v redu sem.; Je vse v redu z vami, šef? -Ja. Vse je v redu.
 Če je Laeddis res tukaj ...; Torej... če je Laeddis tukaj...
 Kaj boš naredil v zvezi s tem?; Kaj boš storil?
 Tu nisem, da bi ubil Leaddisa.; Nisem tukaj, da bi ubil Leaddisa.
 Če bi bila to moja žena, bi ga ubil ... dvakrat.; Če bi bila to moja žena, bi ga ubil... dvakrat.
 Ko smo prišli do vrat Dachaua, so se SS-ovi stražarji predali.; Ko smo vstopili skozi vrata Dachaua, so se SS stražarji predali.
 Poveljnik se je poskušal ubiti, preden smo prišli tja, a se mu je skazilo.; Komandant se je poskušal ubiti, preden smo prišli tja, ampak...
 Eno uro je trajalo, da je umrl.; Obvladal je zelo nevarnega pacienta, zelo spretno.
 Ko sem šel ven, sem na tleh videl trupla.; Ko sem prišel ven, sem na tleh zagledal trupla.
 Preveč, da bi jih lahko preštel.; Preveč, da bi jih preštel.
 Preveč, da bi si lahko predstavljal.; Preveč, da bi si jih sploh predstavljal.
 Stražarji so se predali, vzeli smo jim puške, jih postrojili.; stražarji so se predali. Pobrali smo jim orožje in jih postavili v vrsto.
 To ni bilo vojskovanje.; Vedno je bilo samo to.
 Dovolj sem ubijal.; Ja, in imel sem dovolj pobijanja.
 Za kaj torej gre tu?; In kaj naj bi to pravzaprav bilo?
 Po tem, ko je Laeddis izginil, sem začel malo preverjati Ashecliffe.; Ko je Laeddis izginil, sem začel preverjati stvari o Ashcliffu.
 Kot bi se česa bali.; Kot da bi izparela naravnost skozi stene.
 Ta ustanova se financira iz posebnega sklada Kongresne komisije za protiameriške dejavnosti -HUAC?; Oddelek C je znotraj utrdbe iz državljanske vojne?
 In kako naj bi se z otoka v Boston Harborju borili s komunisti?; In... si jedel hrano v restavraciji in pil kavo, s katero so ti postregli?
 Z izvajanjem poskusov na možganih.; Z izvedbo poskusov na možganih.
 Taka so vsaj moja ugibanja. -In misliš, da se to dogaja tu?; Vsaj jaz tako mislim. -In ti misliš, da se to tukaj dogaja?
 Kot sem že rekel, nihče noče govoriti.; Kot sem že rekel, nihče ni hotel govoriti o tem, razumeš?
 Dokler nisem našel nekoga, ki je bil tu pacient.; Dokler nisem našel nekoga, ki je bil tukaj pacient.
 Ime mu je George Noyce. Prijeten študent. Socialist.; Fantu je ime George Noyce. Prijazen študent. Socialist.
 Ponudili so mu denar za psihološko študijo. Ugani, kaj so testirali.; Povej mu zakaj.
 Zobne paste? -Povsod je začel videvati zmaje.; Začel je vsepovsod videvati zmaje.
 Profesorja je pretepel skoraj do smrti.; Šolo je požgal. Ubil dve osebi. Rekel je, da so mu to naročili glasovi.
 Končal je tu, v Ashecliffu, na oddelku C.; Svojega profesorja je pretepel skoraj do smrti. In pristal tu v Ashcliffu, na oddelku C.
 Po enem letu so ga izpustili. In kaj je naredil?; Izpustili so ga po enem letu, razumeš? In kaj potem naredi?
 Po dveh tednih zunaj je odkorakal v bar in do smrti zabodel tri ljudi.; Po dveh tednih na celini vstopi v bar in zabode tri Ijudi do smrti.
 Njegov odvetnik se je skliceval na neprištevnost, a Noyce ...; Komandant se je poskušal ubiti, preden smo prišli tja, ampak...
 V sodni dvorani je rotil sodnika, naj ga da na električni stol.; Ponudili so mu denar, da je opravil neka psihološka testiranja.
 Sodnik mu je prisodil doživljenjsko kazen v Dedhamu.; Sodnik mu je prisodil doživljensko v zaporu Dedham.
 Si ga našel? -Ja, našel sem ga.; In ti si ga našel? -Da, Jaz sem ga našel. No, on je...
 Razvalina je.; Napisala je.
 A iz njegovih besed mi je dokaj jasno ... -Kaj?; Kaj se je pa zgodilo s tabo? -Kako to misliš?
 Tu na ljudeh delajo poskuse. -Ne vem, šef.; To je pomembno. -Žal mi je, šef.
 Kako verjeti norcu? -To je čar vsega tega.; Kaj je to? -To je samo pomirjevalo.
 Norci so popolni osebki. Govorijo, a nihče jih ne posluša.; Nori Ijudje so popoln poskusni predmet. Kar povejo, nihče ne posluša.
 Bil sem v Dachauu.; Stal sem v Dachauu.
 Videli smo, kaj je človek sposoben narediti sočloveku, ne?; Mi... videli smo, kaj so Ijudje sposobni narediti drug drugemu, je tako?
 Zaboga, vojskovali smo se, da bi jih ustavili in sedaj izvem, da se to mogoče dogaja tu, na naši zemlji? Ne.; Za božjo voljo... v vojni smo se bojevali, da jih zaustavimo, zdaj pa ugotovim, da se to mogoče dogaja tukaj? Na naši zemlji?
 Zakaj si v resnici tu, Ted?; Kaj pravzaprav misliš tukaj storiti, Ted?
 Našel bom dokaz, se vrnil in razkrinkal ta kraj. To je vse.; Poiskal bom dokaze, vrnil se bom nazaj in razkril, kaj se dogaja na tem mestu.
 Začel si povpraševati o Ashecliffu.; Začel si poizvedovati o Ashcliffu.
 Čakal si na priložnost, da prideš sem, potem pa so nenadoma potrebovali šerifa?; In... si jedel hrano v restavraciji in pil kavo, s katero so ti postregli?
 Sreča. Pacientka je pobegnila, bil je popoln izgovor.; Srečo sem imel. Pacient je pobegnil, to je bila enkratna priložnost.
 Ne, ne, ne, šef. Sreča ne deluje na tak način.; Ne, ne, ne šef. Sreča ne funkcionira na ta način.
 Svet ne deluje na tak način. Okoli greznice je električna ograja.; Pomožni generator se je pokvaril. Zdaj je tu res prava norišnica.
 Oddelek C je znotraj vojne trdnjave?!; Oddelek C je znotraj utrdbe iz državljanske vojne?
 Šef osebja je povezan s službo OSS. Financira jih HUAC?!; Šef osebja je povezan z OSS-om. Financiranje s strani HUAC-a?
 Za božjo voljo! Tu vse smrdi po vladni operaciji.; Mislim, Ijubi Bog! Vse na tem mestu smrdi po vladnih operacijah.
 Kaj, če so te hoteli tu? -Bedarija! -Postavljal si vprašanja! -Bedarija!; Povej mi, kako so te spravili sem? -Oni vejo!
 Prišla sva zaradi Rachel Solando. Kje je dokaz, da je sploh obstajala?; Dobro, Rachel Solando, mimo koga od vas je še morala iti, da je prišla sem dol?
 Ni mogoče, da bi vedeli, da me bodo dodelili na ta primer.; Ni mogoče, da bi vedeli, da mi bo dodeljen ta primer. Ni možno...
 Ko si ti opazoval njih, so oni mogoče opazovali tebe.; Medtem ko si ti opazoval njih, so oni opazovali tebe.
 Šerif, ste tukaj? Govori namestnik upravnika McPherson. Šerif!; Govori pomočnik upravnika McPherson. Marshal!
 Kaj pa to? Našli so naju. -To je otok. Vedno naju bodo našli.; To je otok, šef. Vedno naju bodo našli.
 Vem, da sta tam notri ...; Vem, da sta tam...
 Pohitita, tole se spreminja v prekleti orkan!; Pa pohitita, tale stvar se spreminja v prekleti orkan.
 Obleke sem odnesel prat. Jutri bi morale biti gotove.; Jutri bi morala biti pripravljena.
 Če nas ne bo prej odplaknilo.; Če tole vseh nas prej ne odplakne.
 To je najina edina izbira, kaj?; To je najina edina izbira, ne?
 Imam nekaj lepega v zaporniški sivi barvi, če vama to ni všeč.; Imam nekaj res lepega v zaporniško sivi, če vama to ne odgovarja.
 Zato ponovno vztrajam, da morajo biti vsi pacienti iz oddelka C privezani.; Zato moram ponoviti svojo zahtevo, da morajo biti vsi pacienti z oddelka C vklenjeni.
 Če bo stavbo poplavilo, bodo utonili. -Potrebna bi bila velika poplava.; Za to bi morala biti res velika poplava. -Na otoku sredi oceana smo v središču orkana. Obstaja velika verjetnost velikih poplav.
 Smo na otoku in zunaj divja orkan. Velika poplava se zdi čisto mogoča.; Zvedel bom, kaj za vraga se dogaja na tem otoku.
 Tvegano je, Steven. Kaj, če pride do prekinitve električnega toka?; To je tvegano, Steven. Recimo, da pride do izpada električne energije.
 Imamo rezervne generatorje. -In če odpovedo? Vrata celic se bodo odprla.; Tam je pomožni generator. -In če še ta odpove? Vrata celic se bodo odprla.
 Ne morejo kar skočiti na trajekt, zbežati na kopno in povzročati težav.; Edina pot z otoka je trajekt, oni pa ga nadzirajo.
 Prav imaš. Verjetneje je, da jih bodo povzročali nam.; Veliko verjetneje je, da se bodo znesli tu, nad nami.
 To je 24 človeških bitij. Lahko živiš s tem?; To je 24 človeških bitij. -In ti bi lahko živel s tem, ali ne?
 Če bi jaz odločal, bi vklenil tudi vseh 42 pacientov iz oddelkov A in B.; Iskreno, če bi sam odločal o tem, bi vklenil tudi vseh 42 pacientov z oddelka A in B.
 Zjutraj sva govorila o sporočilu Rachel Solando ...; Zjutraj sva govorila o sporočilu Rachel Solando.
 Zakon štirih. To mi je bilo zelo všeč.; Zakon četverice, to mi je bilo všeč.
 Rekli ste, da ne veste, na kaj se nanaša druga vrstica, ni tako?; Rekli ste, da nimate pojma, na kaj bi se druga vrstica lahko nanašala. Je tako?
 Kdo je številka 67?; Kdo je 67?
 Ja, žal tega še vedno ne vem. Nihče od nas ne ve.; Kdo je 67? Da, bojim se, da še vedno ne vem.
 Vam nič ne pride na misel?; Nič vam ne pride na misel.
 Pravkar sem vas slišal reči, da je v oddelku C 24 pacientov.; Vse kar vem je, da je bolnišnica za duševne bolezni.
 In 42 jih je v oddelkih A in B, kar pomeni, da jih je skupaj 66?; Kar pomeni, da je skupaj 66 pacientov v tej ustanovi.
 To je točno, ja.; To drži, da.
 Zdi se, da je Rachel Solando namigovala, da imate tudi 67. pacienta, doktor.; Vlomili ste na oddelek C, da bi dokazali obstoj 67-tega pacienta.
 A bojim se, da ga nimamo.; Bojim se, da to ne bo mogoče.
 To je smešno. -Kaj počnete tukaj? -Opravljava svoje preklemano delo.; Kaj vi delate tukaj? -Opravljamo svoje prekleto delo.
 Ne, kakšna je ta dobra novica, doktor?; Kaj za vraga se je zgodilo tam pri tistih celicah, Ted?
 Tu je.; Tako je.
 Niti ene praske nima.; Niti praske nima.
 Kdo sta ta moška?; Kdo sta ta dva moška?
 Zakaj sta v mojem domu? -Policista sta, Rachel. Imata nekaj vprašanj.; Zakaj sta v moji hiši? -Policista sta, Rachel.
 V tej soseski? -Ja, bojim se, da res.; V tej soseski? -Da, bojim se, da res.
 Če bi nam lahko povedali, kaj ste počeli včeraj, kje ste bili, bi nam to resnično pomagalo zožiti iskanje.; Če nam torej lahko poveste, kaj ste delali včeraj, kje ste bili, bi nam res pomagali omejiti našo raziskavo.
 Jimu in otrokom sem pripravila zajtrk, nato sem ...; Pripravila sem zajtrk za Jima in otroke, nato sem...
 Jimu za na pot pripravila kosilo in je odšel.; Zavila sem Jimovo kosilo in on je odšel.
 Nato sem otroke poslala v šolo.; Nato sem poslala otroke v šolo.
 Odločila sem se za daljše plavanje v jezeru.; Odločila sem se, da si privoščim dolgo plavanje v jezeru.
 In potem?; Kaj pa potem?
 Mislila sem nate.; Sem mislila nate.
 Oprostite, gospa, ne vem, o čem govorite.; Jaz... oprostite gospa. Jaz... ne vem o čem govorite.
 Veš, kako osamljena sem, Jim?; Ali ne veš, kako osamljena sem bila, Jim?
 Kako naj preživim?; Kako bom preživela?
 Rachel, vse bo v redu.; Rachel... Vse bo še v redu.
 Zelo mi je žal, ampak ...; Tako mi je žal, ampak...
 Vse bo v redu, prav?; Brez zamere, v redu?
 Tvoje telo so bili le koščki mesa, obgrizeni od morskih psov.; S tvojega telesa so odpadali kosi mesa, pljuskali so v morje, kjer so jih pojedli morski psi.
 Moj Jim je mrtev. Kdo si torej ti, jebenti?; Moj Jim je mrtev. Torej, kdo za vraga si ti?
 Kdo si ti, jebenti? Kdo si? Kdo si ti?; Kdo za vraga si ti?!
 Opravičujem se za to.; Ne morem se pritoževati.
 Nisem hotel prekinjati. Mislil sem, da vam bo kaj povedala, a ...; Nisem hotel prekiniti. Mislil sem, da vam bo kaj povedala ampak...
 Našli smo jo doli pri svetilniku, kjer je metala žabice.; našli smo jo ob svetilniku, skakala je po kamenju.
 Ne vemo, kako je prišla ven. Prosil vaju bom, da odideta v klet.; Moral vaju bom prositi, da gresta dol v klet.
 Tam imamo hrano, vodo in zložljive postelje.; Tam je hrana, voda in postelje. To je najvarnejše mesto, v primeru orkana.
 Med divjanjem orkana je najbolje biti tam.; Tam je hrana, voda in postelje. To je najvarnejše mesto, v primeru orkana.
 Ste dobro? Videti ste bledi. -V redu sem, samo ...; Je vse v redu z vami? Bledi zgledate. -V redu sem, samo...
 Šef, si dobro? -Tu je tako presneto svetlo, ni?; Gospod, ničesar nisem videl. -In vso noč si bil na svojem mestu?
 Občutljivost na svetlobo, glavoboli. Šerif, imate migreno? -V redu bom.; V redu bom.
 Kaj je narobe z njim?; Kaj se je zgodilo z Laeddisom?
 Popijte. Čez nekaj ur se boste zbudili z jasno glavo. -Kaj mu je? -Migrena.; Kaj je narobe z njim?! -Migreno ima.
 Kot bi mu nekdo glavo napolnil z britvami in jo nato močno stresal.; Kot da bi z bičanjem do krvi izgnali psihozo iz njih.
 Popijte tablete. -Nočem jih. -Pregnale bodo bolečino. Vzemite.; Bolečino bodo pregnale, Marshall. Popijte tablete.
 Moral bo leči.; In uleči se bo moral.
 Previdno. Tako.; Previdno. Dobro.
 Kdo je to? -On? To je upravnik.; Kdo je to? -On?
 Videti je kot nekdanja vojaška rit. -Glede tega vam ne bom nasprotoval.; Predolgo ga je odlagal. -Trenutno ne smete zapuščati ustanove.
 Moral bi me rešiti.; Rešiti bi me moral.
 Saj ni zamere, ne?; Saj nisi vzel kakšnih tablet, ne?
 Brez zamer.; Brez zamere.
 Nekaj malega za pozneje.; Nekaj malega za kasneje.
 Ker vem, kako zelo jo potrebuješ.; Ker vem, kako močno to potrebuješ.
 Zmanjkuje nama časa.; Ura teče prijatelj. Zmanjkuje nama časa.
 Priskoči mi na pomoč.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.
 Lahko bi zašel v težave.; Lahko bi zabredel v težave.
 Tako zelo mi je žal.; Tako mi je žal, ampak...
 Poskušal sem, hotel sem, a ko sem prišel, je bilo že prepozno.; Poskušal sem, hotel sem, ampak preden sem prišel tja, je bilo prepozno.
 Kaj niso lepi?; Ali niso čudoviti?
 Zakaj si vsa mokra, ljubica?; Zakaj si vsa mokra, punči?
 Ni izginil.; Ni odšel.
 Si dobro, šef?; Si v redu šef?
 Ta presneta migrena!; Ta prekleta migrena!
 Rezervni generator je zatajil. Vsi so ponoreli.; Pomožni generator se je pokvaril. Zdaj je tu res prava norišnica.
 Kaj boš naredil?; Kaj boš storil?
 Misliš, da je scvrlo celoten električni sistem? -Zelo verjetno.; V tej soseski? -Da, bojim se, da res.
 Lep dan za sprehod, se ti ne zdi? Recimo do oddelka C.; Lep dan za potep, kaj praviš? Do oddelka C na primer.
 Tip, o katerem sem ti govoril, George Noyce?; Fant o katerem sem ti pravil, George Noyce?
 Povedal mi je, da tu zadržujejo tiste najhujše.; On mi je povedal, da imajo tukaj priprte najhujše.
 Take, ki se jih celo ostali zaporniki bojijo.; Tipe, ki se jih celo ostali sojetniki bojijo.
 Ti je Noyce kaj povedal o razporeditvi? -Ne ravno.; Ti je Noyce dal kakšen podatek o razporeditvi prostorov? -V bistvu ne.
 Spomni se le, da ljudje noč in dan kričijo, ni oken, povsod so rešetke.; Vse kar se je spomnil je bilo kričanje Ijudi dan in noč, brez oken.
 Zaboga! -Prvič na oddelku C, kaj?; Prvič na oddelku C, kaj?
 Ja. -Ja. Slišala sva zgodbice ... -Verjemi, sine, en drek sta slišala.; Slišala sva zgodbe ampak... -Verjemi sinko. Nič nista slišala.
 Večino tega mrčesa smo polovili, a nekaj jih je še na prostosti.; Večino golazni imamo sedaj pod ključem, nekateri pa so še vedno na prostosti.
 Če katerega vidite, ga ne skušajta zadržati sama.; In če vidita koga, ga ne poskušajta obvladati sama.
 Hej! Hej!; Hej!
 Hej! Hej!; Hej!
 Poslušaj! Nočem oditi od tu.; Ne, nikdar ne bom prišla od tod. Nisem prepričana niti, da bi smela.
 Zakaj bi sploh kdo hotel? Tu slišimo stvari o zunanjem svetu.; Mislim, zakaj bi sploh kdo hotel? Tukaj slišimo stvari.
 O dogodku na atolu. O preizkušanju vodikovih bomb.; O zunanjem svetu. O atolih.
 Ostale bombe eksplodirajo. A ne vodikova bomba.; Ne pa vodikova bomba. Ta povzroči implozijo.
 Ta implodira. Nastane tisočkrat, milijonkrat močnejša eksplozija.; Ne pa vodikova bomba. Ta povzroči implozijo.
 Razumeš? -Ja, ja! -Mar res? -Razumem, razumem! -Spusti ga!; Nazaj hočem. -Primite ga!
 Kaj počneš?; Kaj je to, doktor?
 Kaj je narobe z vama, jebenti? Morata jih ujeti, ne ubiti!; Kaj za vraga je narobe z vama? Poloviti jih moramo, ne pobiti.
 Napadel naju je. -Pomagajte mi. Odvesti ga moram v ambulanto.; Ti, pomagaj mi z njim. V ambulanto ga bom odpeljal.
 Cawley me bo zaradi tega za jajca ...; Cawley mi bo zaradi tega odrezal jajca.
 Prosim ... Moj bog ... Ustavi me, preden jih ubijem še več.; Ustavi me. Preden ubijem še koga.
 Rekel si mi, da me boš osvobodil tega kraja.; Rekel si mi, da se bom osvobodil tega mesta.
 To je prekleto smešno.; To je pa res prekleto smešno.
 Tvoj glas ... -Ga ne prepoznaš?; Tvoj glas... -Ali ga ne prepoznaš?
 Pravijo, da sem sedaj njihov.; Pokaži mi svoj obraz. -Pravijo, da sem zdaj njihov.
 Pravijo, da nikoli ne bom odšel od tu.; Pravijo, da bom ostal tukaj za vedno.
 Vžigalica ti bo izgorela.; Vžigalica ti bo ugasnila.
 Pokaži mi že svoj obraz! -Zakaj? Da mi boš lahko še bolj lagal?; Takoj mi pokaži svoj prekleti obraz! -Zakaj?
 Tu ne gre za resnico. -Ja, gre. Gre za razkritje resnice. -Zate gre!; Gre za pojasnitev resnice. -Zate gre!
 In za Laeddisa.; In Laeddisa.
 Vedno je šlo le za to.; Vedno je bilo samo to.
 Jaz sem bil le postranskega pomena.; Ja, in imel sem dovolj pobijanja.
 Ne, to ni mogoče. Ne moreš biti tukaj.; Ne, to ni mogoče, ti ne moreš biti tukaj.
 Kdo ti je to naredil, George? -Ti. -Kaj, hudiča, misliš s tem?; Kaj se je pa zgodilo s tabo? -Kako to misliš?
 Vse te tvoje jebene besede! Tu sem zaradi tebe!; Jaz pa sem tukaj... samo zaradi tebe!
 George, kako so te spravili iz Dedhama?; George, kako so te spravili iz zapora Dedham, kaj?
 Kakorkoli že je do tega prišlo, našel bom način, da to popravim, razumeš?; Kako se je to zgodilo? Našel bom način, da to popravim. Si razumel?
 Nikoli ne bom prišel ven.; Zdaj ne bom več prišel ven.
 Povej mi, kako so te spravili sem? -Vedeli so! Kaj ne razumeš?; Povej mi, kako so te spravili sem? -Oni vejo!
 Vse, kar si nameraval. Tvoj celoten načrt.; Vse kar si nameraval. Ves tvoj načrt.
 To je igra. Vse to je zate. Ničesar ne preiskuješ.; To je igra. Vse to... je zaradi tebe.
 Jebena podgana v labirintu si.; Ti si jebena podgana v labirintu.
 George, motiš se.; George, poglej...
 Res? Si bil kaj sam, odkar si prišel sem?; Si bil kdaj sam, odkar si prišel sem?
 George, poslušaj ... Poznam ljudi. Njemu zaupam.; Poznam Ijudi. Zaupam temu človeku.
 Potem so že zmagali.; Potem so pa že zmagali.
 Odpeljali me bodo v svetilnik.; Odpeljali me bodo... v svetilnik.
 Rezali mi bodo v možgane. In tu sem samo zaradi tebe!; Jaz pa sem tukaj... samo zaradi tebe!
 George, spravil te bom od tu. Ne boš šel v svetilnik.; George, spravil te bom od tod. Ne boš šel v svetilnik. Ne boš.
 Ne moreš istočasno izkopati resnice in ubiti Laeddisa.; Ne moreš odkriti resnice in ubiti Laeddisa istočasno.
 Odločiti se moraš, saj razumeš, kajne?; Tukaj se pa moraš odločiti. Saj to razumeš, ali ne?
 Tu nisem, da bi ubijal. -Lažnivec! -Ne bom ga ubil, prisežem! Prisežem!; Ne bom ga ubil! Prisežem ti... Prisežem!
 Mrtva je.; Umrla je.
 Pozabi jo.; Pozabi nanjo.
 Pozabi jo.; Pozabi nanjo.
 Povej mu, Teddy. Povej mu, zakaj.; Povej mu zakaj.
 To moraš storiti. Drugega načina ni.; To moraš narediti. Druge izbire nimaš.
 Pozabi jo. -Povej mu o dnevu, ko si mi prinesel medaljon. -Moraš!; Pozabi jo. -Povej mu o dnevu, ko si mi prinesel moj medaljon. -To moraš narediti!
 Povedala sem ti, da se mi trga srce in vprašal si me zakaj. -Za - zaj ...; In sem ti povedala, da je to od sreče. -Ubila te bo. Ubila te bo.
 Zajebava te v glavo. -Rekla sem ti, da od sreče. -Ubila te bo.; In sem ti povedala, da je to od sreče. -Ubila te bo. Ubila te bo.
 Želiš odkriti resnico? Njo moraš pozabiti.; Hočeš odkriti resnico? Pozabi nanjo.
 Ne morem. -Moraš jo pozabiti! -Ne morem! Ne morem!; Ne morem. -Pozabiti moraš nanjo!
 Potem pa nikoli ne boš zapustil tega otoka.; Potem pa nikdar ne boš zapustil tega otoka.
 Ni ga na tem oddelku.; Ni ga na oddelku A, samo še na enem mestu je lahko...
 Premeščen je bil stran.; Premeščen je bil... stran od tod.
 Če ga ni na oddelku A, obstaja le eno mesto, kjer bi lahko bil.; Prepričan sem, da ga ni na oddelku B, tako da ostane samo oddelek C.
 Bog ti pomagaj.; Bog s tabo.
 Šef, težave imamo. McPherson  in Cawley sta v stavbi.; Šef, problem imava, McPherson in Cawley sta v zgradbi.
 Izvedeli so, da se je strežnik znesel nad pacientom.; Očitno je bil včeraj na oddelku C neznan moški.
 Samo hodiva naprej. Spadava sem.; Samo naprej. Midva spadava sem.
 Kaj se ti je zgodilo? -Kaj to misliš?; Kaj se je pa zgodilo s tabo? -Kako to misliš?
 Kje si bil? -Ko sva onega odpeljala v ambulanto, sem šel gledat arhive pacientovih kartotek.; Ko sva odpeljala tistega tipa v ambulanto, sem naredil ovinek.
 Si našel Laeddisa? -Ne. Nisem ga našel.; Vas je kdajkoli osvajal? -Ne.
 Imam drugo najboljšo stvar. Njegov sprejemni list.; Ne. Nisem ga našel. -Zate imam še eno dobro stvar. Njegov sprejemni list.
 Edina stvar v njegovi kartoteki. Ni zaznamkov o seansah ali izgredih.; Izginil je, kot da nebi nikdar obstajal. Nikakršnega poročila ni o tem.
 Ni slik. Samo tole. Bilo je čudno. Izvoli, poglej.; To je bila edina stvar v njegovi kartoteki. Nobenih zaznamkov ali poročil o incidentih, nobenih fotografij... samo tole. Zelo nenavadno. Tukaj, poglej.
 Pozneje bom pogledal.; Kasneje ga bom pregledal.
 Kaj je narobe, šef? -Pozneje bom pogledal, to je vse.; Kaj je narobe z njim, doktor? -Tole vzemite, Marshal.
 Ashecliffe je v to smer. -Ne grem v Ashecliffe.; Ashcliff je v tej smeri. -Ne grem v Ashcliff.
 Do svetilnika grem. Izvedel bom, kaj se dogaja na tem otoku.; Zvedel bom, kaj za vraga se dogaja na tem otoku.
 Prekleto! Preveč južno sva. Morala bova nazaj.; Preveč južno sva. Obrniti se bova morala.
 Ni mogoče, da bi lahko prečkala tiste skale.; Bojim se, da bi lahko našli mene, če bi prišli iskat tebe.
 Morda bi lahko šla za tistimi drevesi.; Nemogoče, da greva preko teh skal. Lahko, da je pot za temi drevesi.
 Mogoče obstaja pot okoli skal, ki vodi do svetilnika. Pridi.; Pridi.
 To je dokaz obstoja 67. pacienta, za katerega pravijo, da ne obstaja.; Dokazuje, da je tukaj 67-ti pacient, za katerega pravijo, da ne obstaja.
 Kaj naj ti rečem, da te ustavim? -Zakaj bi me hotel ustaviti?; Kaj za vraga naj ti rečem, da te ustavim?
 Ker je plezanje tja dol v temi korak od samomora. -Dobro.; Dajmo še enkrat! -Dobro.
 Mogoče bo bolje, da tokrat ne greš zraven.; Bojim se, da to ne bo mogoče.
